AV;15000
PC;1.00049e-08
Total number of counts;10000324
Mode;Fixed counts
Profile;Resolution
Real time;413.879
Live time;305.532

Energy [eV];Counts
10;0
20;0
30;0
40;0
50;0
60;2
70;4
80;6
90;16
100;39
110;91
120;186
130;437
140;835
150;1510
160;2898
170;5077
180;9225
190;17634
200;35074
210;74767
220;156848
230;304528
240;525823
250;784498
260;991423
270;1.06226e+06
280;961147
290;736546
300;485870
310;282067
320;154257
330;90427
340;67652
350;65933
360;75160
370;85675
380;91927
390;89522
400;79754
410;65824
420;52808
430;43124
440;38263
450;37966
460;41906
470;52095
480;68823
490;92764
500;118332
510;137745
520;143951
530;133295
540;110894
550;82961
560;57646
570;38414
580;26999
590;20407
600;17235
610;16044
620;15359
630;15139
640;15054
650;15009
660;15084
670;15079
680;14963
690;14609
700;14084
710;14077
720;13637
730;13362
740;12971
750;12725
760;12665
770;12680
780;12685
790;12441
800;12239
810;12080
820;11538
830;11645
840;11659
850;11386
860;10994
870;10628
880;10138
890;9625
900;9185
910;9037
920;8757
930;8520
940;8312
950;8313
960;8263
970;8088
980;7913
990;7938
1000;7673
1010;7685
1020;7436
1030;7506
1040;7423
1050;7530
1060;7351
1070;7186
1080;7177
1090;7148
1100;6972
1110;7034
1120;6879
1130;6668
1140;6507
1150;6482
1160;6593
1170;6161
1180;6256
1190;6179
1200;6159
1210;6181
1220;6043
1230;6046
1240;6262
1250;6073
1260;5997
1270;5945
1280;5806
1290;5730
1300;5756
1310;5490
1320;5476
1330;5431
1340;5392
1350;5321
1360;5354
1370;5141
1380;5151
1390;5225
1400;5208
1410;5316
1420;5405
1430;5673
1440;6100
1450;6561
1460;6963
1470;7645
1480;7853
1490;7999
1500;7637
1510;7171
1520;6597
1530;5961
1540;5316
1550;5063
1560;4745
1570;4524
1580;4327
1590;4360
1600;4284
1610;4241
1620;4193
1630;4081
1640;4046
1650;3950
1660;3973
1670;3971
1680;4095
1690;4005
1700;4258
1710;4066
1720;4032
1730;4034
1740;4041
1750;3963
1760;4055
1770;3935
1780;3749
1790;3843
1800;3586
1810;3604
1820;3405
1830;3428
1840;3373
1850;3230
1860;3056
1870;3177
1880;3075
1890;2932
1900;2837
1910;2856
1920;2841
1930;2802
1940;2836
1950;2817
1960;2820
1970;2743
1980;2790
1990;2761
2000;2711
2010;2759
2020;2708
2030;2689
2040;2680
2050;2626
2060;2582
2070;2593
2080;2594
2090;2591
2100;2566
2110;2547
2120;2534
2130;2520
2140;2452
2150;2487
2160;2355
2170;2414
2180;2434
2190;2356
2200;2426
2210;2414
2220;2419
2230;2335
2240;2450
2250;2429
2260;2445
2270;2496
2280;2614
2290;2700
2300;2701
2310;2718
2320;2766
2330;2615
2340;2536
2350;2469
2360;2354
2370;2275
2380;2174
2390;2210
2400;2212
2410;2156
2420;2189
2430;2108
2440;2207
2450;2173
2460;2191
2470;2063
2480;2081
2490;2007
2500;2138
2510;2137
2520;2017
2530;2032
2540;1999
2550;2116
2560;1970
2570;2053
2580;1962
2590;2105
2600;2080
2610;2024
2620;1938
2630;2059
2640;2006
2650;1965
2660;1974
2670;1994
2680;1949
2690;1927
2700;1945
2710;1997
2720;1926
2730;1936
2740;1972
2750;1913
2760;1987
2770;1881
2780;2016
2790;1914
2800;1958
2810;1899
2820;1887
2830;1866
2840;1885
2850;1843
2860;1841
2870;1904
2880;1923
2890;1839
2900;1884
2910;1790
2920;1809
2930;1864
