--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//Holm_Kol_Gemahlen_A.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
                            | W   | Mz    | 1381.6      | 0.003 
Bin 145 | 1440.0 - 1480.0   | ---------------------------------
                            | Al  | Ka3   | 1441.2      | 0.0   
                            | Br  | La2   | 1480.0      | 0.094 
                            | Rb  | Ll    | 1477.3      | 0.044 
                            | Tb  | Mg    | 1460.5      | 1.0   
                            | Er  | Mb    | 1448.3      | 0.997 
                            | Tm  | Ma    | 1463.4      | 1.0   
Bin 153 | 1520.0 - 1560.0   | ---------------------------------
                            | Al  | Kb3   | 1557.0      | 0.038 
                            | Al  | Kb1   | 1557.0      | 0.074 
                            | As  | Lg2   | 1524.0      | 0.072 
                            | As  | Lg3   | 1524.0      | 0.087 
                            | Br  | Lb1   | 1526.0      | 0.946 
                            | Br  | Lb6   | 1523.0      | 0.001 
                            | Rb  | Ln    | 1537.3      | 0.05  
                            | Dy  | Mg    | 1522.4      | 1.0   
                            | Yb  | Ma    | 1525.5      | 1.0   
                            | Ir  | Mz    | 1538.2      | 0.003 
Bin 155 | 1540.0 - 1580.0   | ---------------------------------
                            | Al  | Kb3   | 1557.0      | 0.038 
                            | Al  | Kb1   | 1557.0      | 0.074 
                            | Yb  | Mb    | 1573.5      | 0.997 
Bin 161 | 1600.0 - 1640.0   | ---------------------------------
                            | Br  | Lb3   | 1600.0      | 0.491 
                            | Kr  | Lb1   | 1635.9      | 0.948 
                            | Lu  | Mb    | 1630.1      | 0.997 
Bin 164 | 1630.0 - 1670.0   | ---------------------------------
                            | Se  | Lg2   | 1649.0      | 0.072 
                            | Se  | Lg3   | 1649.0      | 0.088 
                            | Kr  | Lb1   | 1635.9      | 0.948 
                            | Kr  | Lb6   | 1650.9      | 0.001 
                            | Sr  | Ln    | 1648.3      | 0.048 
                            | Er  | Mg    | 1644.4      | 1.0   
                            | Lu  | Mb    | 1630.1      | 0.997 
                            | Hf  | Ma    | 1646.1      | 1.0   
                            | Au  | Mz    | 1648.3      | 0.003 
Bin 173 | 1720.0 - 1760.0   | ---------------------------------
                            | Si  | Ka2   | 1739.2      | 0.297 
                            | Si  | Ka1   | 1739.8      | 0.591 
                            | Rb  | Lb1   | 1751.0      | 0.95  
