QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 1,9935405254	 1,4460611343	
 0,0200032552	 1,9999015331	 1,4460647106	
 0,0400065105	 1,9862532616	 1,4460635185	
 0,0600097657	 1,9790327549	 1,4460623264	
 0,0800130209	 1,9818258286	 1,4460694790	
 0,1000162761	 1,9903600216	 1,4460659027	
 0,1200195314	 1,9961619377	 1,4460575581	
 0,1400227866	 2,0003521442	 1,4460623264	
 0,1600260418	 1,9945836067	 1,4460599422	
 0,1800292971	 1,9957458973	 1,4460492134	
 0,2000325523	 2,0124840736	 1,4460599422	
 0,2200358075	 2,0110774040	 1,4460611343	
 0,2400390628	 1,9928514957	 1,4460456371	
 0,2600423180	 1,9910478592	 1,4460504055	
 0,2800455732	 1,9924378395	 1,4460587502	
 0,3000488284	 1,9980847836	 1,4460587502	
 0,3200520837	 2,0047366619	 1,4460587502	
 0,3400553389	 1,9979488850	 1,4460659027	
 0,3600585941	 2,0038914680	 1,4460551739	
 0,3800618494	 2,0198094845	 1,4460480213	
 0,4000651046	 2,0222115517	 1,4460527897	
 0,4200683598	 2,0076000690	 1,4460563660	
 0,4400716150	 2,0030069351	 1,4460647106	
 0,4600748703	 2,0058214664	 1,4460670948	
 0,4800781255	 2,0097923279	 1,4460623264	
 0,5000813807	 2,0060467720	 1,4460623264	
 0,5200846360	 1,9959533215	 1,4460647106	
 0,5400878912	 1,9919359684	 1,4460551739	
 0,5600911464	 1,9945406914	 1,4460563660	
 0,5800944017	 1,9874513149	 1,4461433887	
 0,6000976569	 1,9844639301	 1,4461278915	
 0,6201009121	 2,0439600945	 1,4465415478	
 0,6401041673	 2,1646010876	 1,4487361908	
 0,6601074226	 2,3027968407	 1,4522874355	
 0,6801106778	 2,4695384502	 1,4561831951	
 0,7001139330	 2,6622581482	 1,4599108696	
 0,7201171883	 2,8521347046	 1,4636993408	
 0,7401204435	 3,0675840378	 1,4676439762	
 0,7601236987	 3,3103895187	 1,4713227749	
 0,7801269539	 3,5853874683	 1,4752650261	
 0,8001302092	 3,9574420452	 1,4792370796	
 0,8201334644	 4,4473457336	 1,4826488495	
 0,8401367196	 4,9752845764	 1,4859390259	
 0,8601399749	 5,4209041595	 1,4890670776	
 0,8801432301	 5,7304534912	 1,4925134182	
 0,9001464853	 5,7848396301	 1,4956700802	
 0,9201497406	 5,5507397652	 1,4988434315	
 0,9401529958	 5,1635208130	 1,5026426315	
 0,9601562510	 4,6885514259	 1,5055298805	
 0,9801595062	 4,1934680939	 1,5083122253	
 1,0001627615	 3,7452375889	 1,5106308460	
 1,0201660167	 3,2977306843	 1,5124511719	
 1,0401692719	 2,8834676743	 1,5154135227	
 1,0601725272	 2,5105214119	 1,5187513828	
 1,0801757824	 2,1646726131	 1,5214610100	
 1,1001790376	 1,8732798100	 1,5232658386	
 1,1201822928	 1,5927219391	 1,5255439281	
 1,1401855481	 1,3274836540	 1,5284752846	
 1,1601888033	 1,1042511463	 1,5306913853	
 1,1801920585	 0,9161019325	 1,5322935581	
 1,2001953138	 0,7519149780	 1,5345215797	
 1,2201985690	 0,6254088879	 1,5371692181	
 1,2402018242	 0,5331969261	 1,5392363071	
 1,2602050795	 0,4627013206	 1,5414059162	
 1,2802083347	 0,4110455513	 1,5436398983	
 1,3002115899	 0,3816545010	 1,5457689762	
 1,3202148451	 0,3638708591	 1,5479755402	
 1,3402181004	 0,3537392616	 1,5504312515	
 1,3602213556	 0,3498518467	 1,5527307987	
 1,3802246108	 0,3463876247	 1,5546810627	
 1,4002278661	 0,3466892242	 1,5568101406	
 1,4202311213	 0,3521049023	 1,5590071678	
 1,4402343765	 0,3552460670	 1,5610623360	
 1,4602376317	 0,3581678867	 1,5633010864	
 1,4802408870	 0,3635251522	 1,5655183792	
 1,5002441422	 0,3700518608	 1,5676510334	
 1,5202473974	 0,3755939007	 1,5699291229	
 1,5402506527	 0,3832650185	 1,5719246864	
 1,5602539079	 0,3945910931	 1,5735292435	
 1,5802571631	 0,4016268253	 1,5756499767	
 1,6002604184	 0,4056262970	 1,5778219700	
 1,6202636736	 0,4167461395	 1,5797305107	
 1,6402669288	 0,4302966595	 1,5818536282	
 1,6602701840	 0,4421019554	 1,5839886665	
 1,6802734393	 0,4570996761	 1,5862059593	
 1,7002766945	 0,4773116112	 1,5885031223	
 1,7202799497	 0,4987251759	 1,5906345844	
 1,7402832050	 0,5263233185	 1,5926992893	
 1,7602864602	 0,5641472340	 1,5948069096	
 1,7802897154	 0,6060659885	 1,5967357159	
 1,8002929707	 0,6552350521	 1,5987682343	
 1,8202962259	 0,7162296772	 1,6011369228	
 1,8402994811	 0,7837045193	 1,6034805775	
 1,8603027363	 0,8412361145	 1,6055202484	
 1,8803059916	 0,8987247944	 1,6075611115	
 1,9003092468	 0,9632134438	 1,6095602512	
 1,9203125020	 1,0083663464	 1,6115057468	
 1,9403157573	 1,0476875305	 1,6136622429	
 1,9603190125	 1,0971450806	 1,6157209873	
 1,9803222677	 1,1488962173	 1,6177046299	
 2,0003255229	 1,1890482903	 1,6199839115	
 2,0203287782	 1,2244117260	 1,6220939159	
 2,0403320334	 1,2610626221	 1,6240119934	
 2,0603352886	 1,3027358055	 1,6261410713	
 2,0803385439	 1,3485383987	 1,6280031204	
 2,1003417991	 1,3923215866	 1,6302633286	
 2,1203450543	 1,4494073391	 1,6327583790	
 2,1403483096	 1,5070688725	 1,6347777843	
 2,1603515648	 1,5569901466	 1,6367757320	
 2,1803548200	 1,6160714626	 1,6387403011	
 2,2003580752	 1,6765499115	 1,6407883167	
 2,2203613305	 1,7457342148	 1,6428136826	
 2,2403645857	 1,8379354477	 1,6447436810	
 2,2603678409	 1,9076597691	 1,6467809677	
 2,2803710962	 1,9632339478	 1,6489291191	
 2,3003743514	 2,0408236980	 1,6510391235	
 2,3203776066	 2,1215081215	 1,6529941559	
 2,3403808618	 2,1968293190	 1,6551756859	
 2,3603841171	 2,2898542881	 1,6572809219	
 2,3803873723	 2,3944735527	 1,6591060162	
 2,4003906275	 2,4621331692	 1,6610085964	
 2,4203938828	 2,5363743305	 1,6629433632	
 2,4403971380	 2,6318013668	 1,6651117802	
 2,4604003932	 2,7163982391	 1,6673982143	
 2,4804036485	 2,8263247013	 1,6695261002	
 2,5004069037	 2,9316556454	 1,6715657711	
 2,5204101589	 3,0259096622	 1,6734492779	
 2,5404134141	 3,1111168861	 1,6754448414	
 2,5604166694	 3,2109618187	 1,6776394844	
 2,5804199246	 3,3480846882	 1,6795229912	
 2,6004231798	 3,4935820103	 1,6814649105	
 2,6204264351	 3,6194872856	 1,6835546494	
 2,6404296903	 3,7933194637	 1,6856825352	
 2,6604329455	 4,0184011459	 1,6878640652	
 2,6804362007	 4,2656326294	 1,6898941994	
 2,7004394560	 4,5157957077	 1,6918897629	
 2,7204427112	 4,7417545319	 1,6939795017	
 2,7404459664	 4,9554767609	 1,6960632801	
 2,7604492217	 5,1709785461	 1,6982424259	
 2,7804524769	 5,3162803650	 1,7003297806	
 2,8004557321	 5,3345384598	 1,7022836208	
 2,8204589874	 5,2573060989	 1,7044484615	
 2,8404622426	 5,1063003540	 1,7066895962	
 2,8604654978	 4,8898935318	 1,7088365555	
 2,8804687530	 4,6263542175	 1,7109465599	
 2,9004720083	 4,3512177467	 1,7129826546	
 2,9204752635	 4,0119924545	 1,7149782181	
 2,9404785187	 3,6896359921	 1,7171204090	
 2,9604817740	 3,4039223194	 1,7193043232	
 2,9804850292	 3,0818760395	 1,7213881016	
 3,0004882844	 2,7631962299	 1,7233812809	
 3,0204915396	 2,5004136562	 1,7253708839	
 3,0404947949	 2,2555673122	 1,7274928093	
 3,0604980501	 1,9827377796	 1,7296361923	
 3,0805013053	 1,7242932320	 1,7317926884	
 3,1005045606	 1,5037178993	 1,7339372635	
 3,1205078158	 1,2815356255	 1,7359638214	
 3,1405110710	 1,0763108730	 1,7380547523	
 3,1605143263	 0,9129440784	 1,7402637005	
 3,1805175815	 0,7598018646	 1,7422223091	
 3,2005208367	 0,6301391125	 1,7441534996	
 3,2205240919	 0,5379748344	 1,7464721203	
 3,2405273472	 0,4648387432	 1,7487096786	
 3,2605306024	 0,4146969318	 1,7506551743	
 3,2805338576	 0,3860127926	 1,7526996136	
 3,3005371129	 0,3715908527	 1,7548060417	
 3,3205403681	 0,3665912151	 1,7570197582	
 3,3405436233	 0,3681516647	 1,7591536045	
 3,3605468785	 0,3729999065	 1,7612266541	
 3,3805501338	 0,3791594505	 1,7633688450	
 3,4005533890	 0,3923845291	 1,7655551434	
 3,4205566442	 0,4080438614	 1,7676818371	
 3,4405598995	 0,4267930984	 1,7696928978	
 3,4605631547	 0,4542684555	 1,7718505859	
 3,4805664099	 0,4877221584	 1,7738413811	
 3,5005696652	 0,5254924297	 1,7758643627	
