QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,4645466805	 1,4457345009	
 0,0200032552	 0,4646801949	 1,4457333088	
 0,0400065105	 0,4614675045	 1,4457249641	
 0,0600097657	 0,4625082016	 1,4457321167	
 0,0800130209	 0,4639720917	 1,4457237720	
 0,1000162761	 0,4636776447	 1,4457166195	
 0,1200195314	 0,4648268223	 1,4457273483	
 0,1400227866	 0,4654133320	 1,4457321167	
 0,1600260418	 0,4652833939	 1,4457285404	
 0,1800292971	 0,4647958279	 1,4457297325	
 0,2000325523	 0,4653346539	 1,4457309246	
 0,2200358075	 0,4679119587	 1,4457190037	
 0,2400390628	 0,4677093029	 1,4457237720	
 0,2600423180	 0,4642176628	 1,4457404613	
 0,2800455732	 0,4622077942	 1,4457190037	
 0,3000488284	 0,4646885395	 1,4457070827	
 0,3200520837	 0,4664361477	 1,4457237720	
 0,3400553389	 0,4612946510	 1,4457345009	
 0,3600585941	 0,4608952999	 1,4457261562	
 0,3800618494	 0,4638302326	 1,4457166195	
 0,4000651046	 0,4643702507	 1,4457285404	
 0,4200683598	 0,4650664330	 1,4457380772	
 0,4400716150	 0,4672622681	 1,4457261562	
 0,4600748703	 0,4645907879	 1,4457297325	
 0,4800781255	 0,4635775089	 1,4457285404	
 0,5000813807	 0,4680752754	 1,4457130432	
 0,5200846360	 0,4675126076	 1,4457166195	
 0,5400878912	 0,4662847519	 1,4457285404	
 0,5600911464	 0,4665112495	 1,4457356930	
 0,5800944017	 0,4688179493	 1,4457237720	
 0,6000976569	 0,4682815075	 1,4457118511	
 0,6201009121	 0,4659628868	 1,4457082748	
 0,6401041673	 0,4685127735	 1,4457273483	
 0,6601074226	 0,4694497585	 1,4457368851	
 0,6801106778	 0,4680502415	 1,4457333088	
 0,7001139330	 0,4687595367	 1,4457297325	
 0,7201171883	 0,4697692394	 1,4457201958	
 0,7401204435	 0,4692232609	 1,4457237720	
 0,7601236987	 0,4694223404	 1,4457321167	
 0,7801269539	 0,4699242115	 1,4457249641	
 0,8001302092	 0,4657316208	 1,4457285404	
 0,8201334644	 0,4649841785	 1,4457380772	
 0,8401367196	 0,4671776295	 1,4457368851	
 0,8601399749	 0,4655909538	 1,4457380772	
 0,8801432301	 0,4658067226	 1,4457333088	
 0,9001464853	 0,4677188396	 1,4457154274	
 0,9201497406	 0,4692292213	 1,4457190037	
 0,9401529958	 0,4708647728	 1,4457321167	
 0,9601562510	 0,4691076279	 1,4457273483	
 0,9801595062	 0,4669868946	 1,4457237720	
 1,0001627615	 0,4674816132	 1,4457213879	
 1,0201660167	 0,4660511017	 1,4457333088	
 1,0401692719	 0,4643428326	 1,4457392693	
 1,0601725272	 0,4659438133	 1,4457249641	
 1,0801757824	 0,4673504829	 1,4457285404	
 1,1001790376	 0,4675912857	 1,4457261562	
 1,1201822928	 0,4669356346	 1,4457249641	
 1,1401855481	 0,4665172100	 1,4457345009	
 1,1601888033	 0,4662013054	 1,4457368851	
 1,1801920585	 0,4638171196	 1,4457428455	
 1,2001953138	 0,4624843597	 1,4457356930	
 1,2201985690	 0,4633867741	 1,4457285404	
 1,2402018242	 0,4648065567	 1,4457285404	
 1,2602050795	 0,4663085938	 1,4457213879	
 1,2802083347	 0,4675090313	 1,4457249641	
 1,3002115899	 0,4679942131	 1,4457321167	
 1,3202148451	 0,4677140713	 1,4457297325	
 1,3402181004	 0,4655718803	 1,4457237720	
 1,3602213556	 0,4647195339	 1,4457154274	
 1,3802246108	 0,4671239853	 1,4454948902	
 1,4002278661	 0,4707050323	 1,4466786385	
 1,4202311213	 0,4742896557	 1,4501631260	
 1,4402343765	 0,4847061634	 1,4541530609	
 1,4602376317	 0,5057454109	 1,4581096172	
 1,4802408870	 0,5440998077	 1,4621686935	
 1,5002441422	 0,5917763710	 1,4659237862	
 1,5202473974	 0,6432378292	 1,4697635174	
 1,5402506527	 0,7013189793	 1,4734065533	
 1,5602539079	 0,7579410076	 1,4774036407	
 1,5802571631	 0,8184123039	 1,4812850952	
 1,6002604184	 0,8852887154	 1,4845144749	
 1,6202636736	 0,9611976147	 1,4878356457	
 1,6402669288	 1,0426938534	 1,4913105965	
 1,6602701840	 1,1361551285	 1,4943623543	
 1,6802734393	 1,2408387661	 1,4977252483	
 1,7002766945	 1,3517832756	 1,5016019344	
 1,7202799497	 1,4738750458	 1,5048313141	
 1,7402832050	 1,5996229649	 1,5078961849	
 1,7602864602	 1,7213642597	 1,5103137493	
 1,7802897154	 1,8178963661	 1,5122616291	
 1,8002929707	 1,8877327442	 1,5151178837	
 1,8202962259	 1,9286167622	 1,5180742741	
 1,8402994811	 1,9317901134	 1,5205705166	
 1,8603027363	 1,9126272202	 1,5226387978	
 1,8803059916	 1,8686497211	 1,5250682831	
 1,9003092468	 1,8371880054	 1,5282249451	
 1,9203125020	 1,8127012253	 1,5305829048	
 1,9403157573	 1,7720651627	 1,5321075916	
 1,9603190125	 1,7376542091	 1,5341842175	
 1,9803222677	 1,7057394981	 1,5367376804	
 2,0003255229	 1,6778385639	 1,5388202667	
 2,0203287782	 1,6552042961	 1,5410709381	
 2,0403320334	 1,6257727146	 1,5433096886	
 2,0603352886	 1,5943849087	 1,5454518795	
 2,0803385439	 1,5545475483	 1,5476918221	
 2,1003417991	 1,5259909630	 1,5500187874	
 2,1203450543	 1,5023982525	 1,5523254871	
 2,1403483096	 1,4624571800	 1,5544474125	
 2,1603515648	 1,4304375648	 1,5564537048	
 2,1803548200	 1,4022433758	 1,5586102009	
 2,2003580752	 1,3721942902	 1,5607166290	
 2,2203613305	 1,3341999054	 1,5630054474	
 2,2403645857	 1,3003349304	 1,5653121471	
 2,2603678409	 1,2736785412	 1,5673577785	
 2,2803710962	 1,2308228016	 1,5696310997	
 2,3003743514	 1,1882877350	 1,5718567371	
 2,3203776066	 1,1548149586	 1,5736186504	
 2,3403808618	 1,1252915859	 1,5755414963	
 2,3603841171	 1,0911965370	 1,5776109695	
 2,3803873723	 1,0608565807	 1,5794682503	
 2,4003906275	 1,0345602036	 1,5815174580	
 2,4203938828	 0,9998798370	 1,5838253498	
 2,4403971380	 0,9767854214	 1,5860140324	
 2,4604003932	 0,9493601322	 1,5881860256	
 2,4804036485	 0,9213900566	 1,5904283524	
 2,5004069037	 0,8940327168	 1,5924763680	
 2,5204101589	 0,8638417721	 1,5945518017	
 2,5404134141	 0,8457624912	 1,5966248512	
 2,5604166694	 0,8339297771	 1,5987312794	
 2,5804199246	 0,8175861835	 1,6011369228	
 2,6004231798	 0,8102917671	 1,6034209728	
 2,6204264351	 0,8051383495	 1,6053903103	
 2,6404296903	 0,8010017872	 1,6074717045	
 2,6604329455	 0,8026921749	 1,6095376015	
 2,6804362007	 0,7993602753	 1,6114950180	
 2,7004394560	 0,8046972752	 1,6136121750	
 2,7204427112	 0,8194148540	 1,6156017780	
 2,7404459664	 0,8258080482	 1,6174793243	
 2,7604492217	 0,8279490471	 1,6197466850	
 2,7804524769	 0,8339869976	 1,6220295429	
 2,8004557321	 0,8417534828	 1,6240692139	
 2,8204589874	 0,8448684216	 1,6261184216	
 2,8404622426	 0,8450734615	 1,6279840469	
 2,8604654978	 0,8449065685	 1,6302621365	
 2,8804687530	 0,8455634117	 1,6327595711	
 2,9004720083	 0,8494102955	 1,6347312927	
 2,9204752635	 0,8484899998	 1,6367769241	
 2,9404785187	 0,8480203152	 1,6388702393	
 2,9604817740	 0,8491826057	 1,6409194469	
 2,9804850292	 0,8479130268	 1,6429698467	
 3,0004882844	 0,8492445946	 1,6449391842	
 3,0204915396	 0,8515918255	 1,6470360756	
 3,0404947949	 0,8575618267	 1,6491687298	
 3,0604980501	 0,8667016029	 1,6513252258	
 3,0805013053	 0,8819556236	 1,6533982754	
 3,1005045606	 0,9086000919	 1,6556072235	
 3,1205078158	 0,9380042553	 1,6576898098	
 3,1405110710	 0,9764087200	 1,6594946384	
 3,1605143263	 1,0272479057	 1,6614568233	
 3,1805175815	 1,0886335373	 1,6633951664	
 3,2005208367	 1,1437165737	 1,6654920578	
 3,2205240919	 1,1984264851	 1,6677665710	
 3,2405273472	 1,2646043301	 1,6699981689	
 3,2605306024	 1,3399839401	 1,6720509529	
 3,2805338576	 1,4129364491	 1,6739177704	
 3,3005371129	 1,4847302437	 1,6760158539	
 3,3205403681	 1,5619349480	 1,6782128811	
 3,3405436233	 1,6240799427	 1,6800570488	
 3,3605468785	 1,6749954224	 1,6819715500	
 3,3805501338	 1,7163956165	 1,6840875149	
 3,4005533890	 1,7400705814	 1,6862428188	
 3,4205566442	 1,7667877674	 1,6884386539	
 3,4405598995	 1,7664945126	 1,6905152798	
 3,4605631547	 1,7447555065	 1,6925263405	
 3,4805664099	 1,7258393764	 1,6946363449	
 3,5005696652	 1,6996574402	 1,6967785358	
