QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 2,4403971380	 0,7720935345	 1,6608655453	
 2,4604003932	 0,7928025723	 1,6628181934	
 2,4804036485	 0,8107697964	 1,6649365425	
 2,5004069037	 0,8133542538	 1,6672503948	
 2,5204101589	 0,8131742477	 1,6695439816	
 2,5404134141	 0,8132410049	 1,6715967655	
 2,5604166694	 0,8067977428	 1,6733455658	
 2,5804199246	 0,8008456230	 1,6752624512	
 2,6004231798	 0,8011591434	 1,6774487495	
 2,6204264351	 0,8014130592	 1,6793715954	
 2,6404296903	 0,7944786549	 1,6812610626	
 2,6604329455	 0,7862412930	 1,6832077503	
 2,6804362007	 0,7827556133	 1,6853296757	
 2,7004394560	 0,7808685303	 1,6875684261	
 2,7204427112	 0,7760524750	 1,6896665096	
 2,7404459664	 0,7706534863	 1,6916286945	
 2,7604492217	 0,7653260231	 1,6935801506	
 2,7804524769	 0,7564961910	 1,6956770420	
 2,8004557321	 0,7480275631	 1,6979134083	
 2,8204589874	 0,7398736477	 1,7000007629	
 2,8404622426	 0,7300949097	 1,7019259930	
 2,8604654978	 0,7228517532	 1,7039632797	
 2,8804687530	 0,7187533379	 1,7060732841	
 2,9004720083	 0,7132267952	 1,7082822323	
 2,9204752635	 0,7040429115	 1,7103517056	
 2,9404785187	 0,6946206093	 1,7123568058	
 2,9604817740	 0,6858468056	 1,7144179344	
 2,9804850292	 0,6779038906	 1,7164969444	
 3,0004882844	 0,6695079803	 1,7186987400	
 3,0204915396	 0,6599223614	 1,7207992077	
 3,0404947949	 0,6480622292	 1,7228710651	
 3,0604980501	 0,6367158890	 1,7249262333	
 3,0805013053	 0,6258356571	 1,7269015312	
 3,1005045606	 0,6123101711	 1,7290198803	
 3,1205078158	 0,6007897854	 1,7311918736	
 3,1405110710	 0,5919611454	 1,7332768440	
 3,1605143263	 0,5801260471	 1,7354035378	
 3,1805175815	 0,5652713776	 1,7375481129	
 3,2005208367	 0,5526793003	 1,7396306992	
 3,2205240919	 0,5436241627	 1,7416977882	
 3,2405273472	 0,5328404903	 1,7436480522	
 3,2605306024	 0,5141019821	 1,7459106445	
 3,2805338576	 0,5025041103	 1,7482876778	
 3,3005371129	 0,4974699020	 1,7501890659	
 3,3205403681	 0,4895579815	 1,7522346973	
 3,3405436233	 0,4910075665	 1,7543733120	
 3,3605468785	 0,4937624931	 1,7564165592	
 3,3805501338	 0,4982721806	 1,7585194111	
 3,4005533890	 0,5092823505	 1,7607474327	
 3,4205566442	 0,5204892159	 1,7628836632	
 3,4405598995	 0,5265724659	 1,7649734020	
 3,4605631547	 0,5355131626	 1,7672061920	
 3,4805664099	 0,5534875393	 1,7693805695	
 3,5005696652	 0,5723786354	 1,7714905739	
 3,5205729204	 0,5914032459	 1,7733824253	
 3,5405761756	 0,6051969528	 1,7753505707	
 3,5605794308	 0,6108164787	 1,7776262760	
 3,5805826861	 0,6293594837	 1,7798221111	
 3,6005859413	 0,6525206566	 1,7819046974	
 3,6205891965	 0,6600809097	 1,7840707302	
 3,6405924518	 0,6676638126	 1,7862284184	
 3,6605957070	 0,6752848625	 1,7882800102	
 3,6805989622	 0,6838369370	 1,7901957035	
 3,7006022174	 0,6936681271	 1,7922496796	
 3,7206054727	 0,6966471672	 1,7945575714	
 3,7406087279	 0,7012212276	 1,7966735363	
 3,7606119831	 0,7040596008	 1,7987310886	
 3,7806152384	 0,7044684887	 1,8007862568	
 3,8006184936	 0,7074058056	 1,8026971817	
 3,8206217488	 0,7086682320	 1,8047595024	
 3,8406250041	 0,7085967064	 1,8068969250	
 3,8606282593	 0,7073938847	 1,8088984489	
 3,8806315145	 0,7087945938	 1,8108427525	
 3,9006347697	 0,7183790207	 1,8129801750	
 3,9206380250	 0,7255244255	 1,8151676655	
 3,9406412802	 0,7313013077	 1,8172848225	
 3,9606445354	 0,7448518276	 1,8194401264	
 3,9806477907	 0,7519710064	 1,8216443062	
 4,0006510459	 0,7589709759	 1,8237626553	
 4,0206543011	 0,7619440556	 1,8257439137	
 4,0406575563	 0,7566928864	 1,8278348446	
 4,0606608116	 0,7602536678	 1,8298399448	
 4,0806640668	 0,7590425014	 1,8316757679	
 4,1006673220	 0,7529783249	 1,8335175514	
 4,1206705773	 0,7562971115	 1,8354427814	
 4,1406738325	 0,7546579838	 1,8374073505	
 4,1606770877	 0,7457256317	 1,8393743038	
 4,1806803430	 0,7433450222	 1,8414294720	
 4,2006835982	 0,7423412800	 1,8434596062	
 4,2206868534	 0,7387995720	 1,8455004692	
 4,2406901086	 0,7330489159	 1,8474555016	
 4,2606933639	 0,7218050957	 1,8494939804	
 4,2806966191	 0,7116818428	 1,8516325951	
 4,3006998743	 0,7030546665	 1,8538928032	
 4,3207031296	 0,6960642338	 1,8561208248	
 4,3407063848	 0,6927287579	 1,8580722809	
 4,3607096400	 0,6873035431	 1,8600797653	
 4,3807128952	 0,6787765026	 1,8621408939	
 4,4007161505	 0,6712198257	 1,8642640114	
 4,4207194057	 0,6663119793	 1,8662512302	
 4,4407226609	 0,6563425064	 1,8682086468	
 4,4607259162	 0,6464433670	 1,8703854084	
 4,4807291714	 0,6353926659	 1,8725359440	
 4,5007324266	 0,6218457222	 1,8746149540	
 4,5207356819	 0,6102550030	 1,8768131733	
 4,5407389371	 0,5999290943	 1,8787992001	
 4,5607421923	 0,5952322483	 1,8806529045	
 4,5807454475	 0,5841362476	 1,8828713894	
 4,6007487028	 0,5731475353	 1,8850600719	
 4,6207519580	 0,5656170845	 1,8870055676	
 4,6407552132	 0,5594515800	 1,8890237808	
 4,6607584685	 0,5571734905	 1,8913912773	
 4,6807617237	 0,5604839325	 1,8936276436	
 4,7007649789	 0,5718767643	 1,8957877159	
 4,7207682341	 0,5856525898	 1,8979847431	
 4,7407714894	 0,6003057957	 1,9000577927	
 4,7607747446	 0,6113636494	 1,9022953510	
 4,7807779998	 0,6240904331	 1,9042670727	
 4,8007812551	 0,6394672394	 1,9060623646	
 4,8207845103	 0,6557726860	 1,9081068039	
 4,8407877655	 0,6697762012	 1,9102430344	
 4,8607910208	 0,6842267513	 1,9123232365	
 4,8807942760	 0,7031524181	 1,9144368172	
 4,9007975312	 0,7114791870	 1,9166338444	
 4,9208007864	 0,7226729393	 1,9190239906	
 4,9408040417	 0,7417833805	 1,9213497639	
 4,9608072969	 0,7594370842	 1,9233334064	
 4,9808105521	 0,7697963715	 1,9253718853	
 5,0008138074	 0,7756149769	 1,9272232056	
 5,0208170626	 0,7925987244	 1,9290971756	
 5,0408203178	 0,8059668541	 1,9311356544	
 5,0608235731	 0,8100533485	 1,9331431389	
 5,0808268283	 0,8193814754	 1,9349503517	
 5,1008300835	 0,8304500580	 1,9368457794	
 5,1208333387	 0,8409702778	 1,9392299652	
 5,1408365940	 0,8549559116	 1,9414532185	
 5,1608398492	 0,8642625809	 1,9434094429	
 5,1808431044	 0,8657085896	 1,9455814362	
 5,2008463597	 0,8664762974	 1,9480311871	
 5,2208496149	 0,8672237396	 1,9503259659	
 5,2408528701	 0,8704102039	 1,9523429871	
 5,2608561253	 0,8728349209	 1,9544756413	
 5,2808593806	 0,8635771275	 1,9566655159	
 5,3008626358	 0,8505451679	 1,9585692883	
 5,3208658910	 0,8344006538	 1,9604134560	
 5,3408691463	 0,8148288727	 1,9625103474	
 5,3608724015	 0,8006083965	 1,9644200802	
 5,3808756567	 0,7904851437	 1,9663774967	
 5,4008789120	 0,7698416710	 1,9685697556	
 5,4208821672	 0,7510805130	 1,9702863693	
 5,4408854224	 0,7411766052	 1,9723093510	
 5,4608886776	 0,7318961620	 1,9748389721	
 5,4808919329	 0,7292735577	 1,9771230221	
 5,5008951881	 0,7240390778	 1,9793283939	
 5,5208984433	 0,7170546055	 1,9815468788	
 5,5409016986	 0,7166469097	 1,9835710526	
 5,5609049538	 0,7087397575	 1,9855058193	
 5,5809082090	 0,6964099407	 1,9875037670	
 5,6009114642	 0,6947612762	 1,9893264771	
 5,6209147195	 0,6893014908	 1,9911229610	
 5,6409179747	 0,6786668301	 1,9929707050	
 5,6609212299	 0,6707882881	 1,9950759411	
 5,6809244852	 0,6642746925	 1,9973778725	
 5,7009277404	 0,6579864025	 1,9992721081	
