QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,3501427174	 1,4471960068	
 0,0200032552	 0,3506028652	 1,4471971989	
 0,0400065105	 0,3481495380	 1,4472043514	
 0,0600097657	 0,3463315964	 1,4472091198	
 0,0800130209	 0,3480517864	 1,4471983910	
 0,1000162761	 0,3491878510	 1,4472019672	
 0,1200195314	 0,3469073772	 1,4471995831	
 0,1400227866	 0,3464770317	 1,4471817017	
 0,1600260418	 0,3468716145	 1,4471900463	
 0,1800292971	 0,3486013412	 1,4471936226	
 0,2000325523	 0,3500211239	 1,4471900463	
 0,2200358075	 0,3498494625	 1,4471983910	
 0,2400390628	 0,3483510017	 1,4471995831	
 0,2600423180	 0,3492414951	 1,4471960068	
 0,2800455732	 0,3504717350	 1,4471936226	
 0,3000488284	 0,3485393524	 1,4471936226	
 0,3200520837	 0,3477644920	 1,4472067356	
 0,3400553389	 0,3478312492	 1,4472019672	
 0,3600585941	 0,3487813473	 1,4471900463	
 0,3800618494	 0,3494524956	 1,4471912384	
 0,4000651046	 0,3482806683	 1,4471828938	
 0,4200683598	 0,3485512733	 1,4471769333	
 0,4400716150	 0,3494453430	 1,4471960068	
 0,4600748703	 0,3479754925	 1,4471948147	
 0,4800781255	 0,3491735458	 1,4471948147	
 0,5000813807	 0,3493762016	 1,4471817017	
 0,5200846360	 0,3467464447	 1,4470851421	
 0,5400878912	 0,3533101082	 1,4471280575	
 0,5600911464	 0,3677713871	 1,4485752583	
 0,5800944017	 0,3849935532	 1,4519572258	
 0,6000976569	 0,4092192650	 1,4560222626	
 0,6201009121	 0,4395353794	 1,4597070217	
 0,6401041673	 0,4746723175	 1,4634251595	
 0,6601074226	 0,5149495602	 1,4673244953	
 0,6801106778	 0,5606937408	 1,4711189270	
 0,7001139330	 0,6058800220	 1,4749705791	
 0,7201171883	 0,6497538090	 1,4787995815	
 0,7401204435	 0,6980884075	 1,4822995663	
 0,7601236987	 0,7444608212	 1,4857041836	
 0,7801269539	 0,7988882065	 1,4890158176	
 0,8001302092	 0,8447563648	 1,4924085140	
 0,8201334644	 0,8870947361	 1,4955759048	
 0,8401367196	 0,9451556206	 1,4989364147	
 0,8601399749	 0,9911346436	 1,5029537678	
 0,8801432301	 1,0402417183	 1,5061569214	
 0,9001464853	 1,0927522182	 1,5088260174	
 0,9201497406	 1,1419510841	 1,5108370781	
 0,9401529958	 1,1957204342	 1,5125501156	
 0,9601562510	 1,2509834766	 1,5155375004	
 0,9801595062	 1,3104331493	 1,5187716484	
 1,0001627615	 1,3878953457	 1,5211224556	
 1,0201660167	 1,4884257317	 1,5228724480	
 1,0401692719	 1,5828573704	 1,5250444412	
 1,0601725272	 1,6573846340	 1,5278029442	
 1,0801757824	 1,7383849621	 1,5303766727	
 1,1001790376	 1,7708563805	 1,5320885181	
 1,1201822928	 1,7480206490	 1,5343129635	
 1,1401855481	 1,6983449459	 1,5371274948	
 1,1601888033	 1,5809762478	 1,5392327309	
 1,1801920585	 1,4317965508	 1,5413618088	
 1,2001953138	 1,2599933147	 1,5434777737	
 1,2201985690	 1,0777115822	 1,5455746651	
 1,2402018242	 0,9069335461	 1,5477955341	
 1,2602050795	 0,7405388355	 1,5503180027	
 1,2802083347	 0,5925214291	 1,5526592731	
 1,3002115899	 0,4667186737	 1,5547072887	
 1,3202148451	 0,3579998016	 1,5569090843	
 1,3402181004	 0,2717733383	 1,5590679646	
 1,3602213556	 0,2097666264	 1,5610980988	
 1,3802246108	 0,1629626751	 1,5633714199	
 1,4002278661	 0,1256430149	 1,5655708313	
 1,4202311213	 0,1001989841	 1,5676641464	
 1,4402343765	 0,0845968723	 1,5699481964	
 1,4602376317	 0,0749397278	 1,5720248222	
 1,4802408870	 0,0680923462	 1,5737807751	
 1,5002441422	 0,0635945797	 1,5757799149	
 1,5202473974	 0,0615286827	 1,5777635574	
 1,5402506527	 0,0593864918	 1,5796124935	
 1,5602539079	 0,0579619408	 1,5816271305	
 1,5802571631	 0,0576984882	 1,5838932991	
 1,6002604184	 0,0580000877	 1,5861344337	
 1,6202636736	 0,0583088398	 1,5882551670	
 1,6402669288	 0,0592827797	 1,5904939175	
 1,6602701840	 0,0604212284	 1,5926587582	
 1,6802734393	 0,0618648529	 1,5947449207	
 1,7002766945	 0,0643777847	 1,5966320038	
 1,7202799497	 0,0674104691	 1,5987813473	
 1,7402832050	 0,0717544556	 1,6013038158	
 1,7602864602	 0,0767636299	 1,6035842896	
 1,7802897154	 0,0824964046	 1,6054868698	
 1,8002929707	 0,0901079178	 1,6074585915	
 1,8202962259	 0,0992381573	 1,6094303131	
 1,8402994811	 0,1095914841	 1,6114020348	
 1,8603027363	 0,1210045815	 1,6136264801	
 1,8803059916	 0,1341032982	 1,6156005859	
 1,9003092468	 0,1497328281	 1,6175997257	
 1,9203125020	 0,1677227020	 1,6199493408	
 1,9403157573	 0,1870989799	 1,6220676899	
 1,9603190125	 0,2035260201	 1,6240608692	
 1,9803222677	 0,2192723751	 1,6261100769	
 2,0003255229	 0,2361285686	 1,6279149055	
 2,0203287782	 0,2479839325	 1,6301715374	
 2,0403320334	 0,2592539787	 1,6326177120	
 2,0603352886	 0,2702069283	 1,6346418858	
 2,0803385439	 0,2765977383	 1,6367530823	
 2,1003417991	 0,2851533890	 1,6387200356	
 2,1203450543	 0,2932202816	 1,6407704353	
 2,1403483096	 0,2983033657	 1,6428947449	
 2,1603515648	 0,3046071529	 1,6449403763	
 2,1803548200	 0,3122246265	 1,6471087933	
 2,2003580752	 0,3194487095	 1,6492867470	
 2,2203613305	 0,3294217587	 1,6514146328	
 2,2403645857	 0,3392708302	 1,6533958912	
 2,2603678409	 0,3483819962	 1,6555833817	
 2,2803710962	 0,3601348400	 1,6576731205	
 2,3003743514	 0,3712677956	 1,6594851017	
 2,3203776066	 0,3874933720	 1,6614186764	
 2,3403808618	 0,4066073895	 1,6634237766	
 2,3603841171	 0,4190778732	 1,6655194759	
 2,3803873723	 0,4344427586	 1,6678214073	
 2,4003906275	 0,4552233219	 1,6700565815	
 2,4203938828	 0,4752790928	 1,6719818115	
 2,4403971380	 0,4958069324	 1,6738426685	
 2,4604003932	 0,5145382881	 1,6759061813	
 2,4804036485	 0,5380666256	 1,6780900955	
 2,5004069037	 0,5630135536	 1,6799783707	
 2,5204101589	 0,5847239494	 1,6818881035	
 2,5404134141	 0,6106162071	 1,6840755939	
 2,5604166694	 0,6364715099	 1,6862547398	
 2,5804199246	 0,6619119644	 1,6883540154	
 2,6004231798	 0,6886494160	 1,6903793812	
 2,6204264351	 0,7145774364	 1,6923892498	
 2,6404296903	 0,7377874851	 1,6944861412	
 2,6604329455	 0,7650852203	 1,6967213154	
 2,6804362007	 0,7976984978	 1,6989004612	
 2,7004394560	 0,8227992058	 1,7008817196	
 2,7204427112	 0,8502686024	 1,7028665543	
 2,7404459664	 0,8803272247	 1,7050743103	
 2,7604492217	 0,9052550793	 1,7073512077	
 2,7804524769	 0,9356081486	 1,7094421387	
 2,8004557321	 0,9682273865	 1,7115187645	
 2,8204589874	 0,9908735752	 1,7135691643	
 2,8404622426	 1,0173642635	 1,7156374454	
 2,8604654978	 1,0535800457	 1,7177319527	
 2,8804687530	 1,0837519169	 1,7198693752	
 2,9004720083	 1,1107766628	 1,7220151424	
 2,9204752635	 1,1464321613	 1,7240095139	
 2,9404785187	 1,1941528320	 1,7260408401	
 2,9604817740	 1,2353408337	 1,7280972004	
 2,9804850292	 1,2804555893	 1,7301821709	
 3,0004882844	 1,3512754440	 1,7322719097	
 3,0204915396	 1,4348876476	 1,7343783379	
 3,0404947949	 1,5117835999	 1,7365062237	
 3,0604980501	 1,5645813942	 1,7386448383	
 3,0805013053	 1,6105282307	 1,7408430576	
 3,1005045606	 1,6482448578	 1,7426145077	
 3,1205078158	 1,6424059868	 1,7445170879	
 3,1405110710	 1,5910267830	 1,7468810081	
 3,1605143263	 1,5063893795	 1,7490339279	
 3,1805175815	 1,3866007328	 1,7510128021	
 3,2005208367	 1,2395846844	 1,7530918121	
 3,2205240919	 1,0879325867	 1,7551457882	
 3,2405273472	 0,9254312515	 1,7572820187	
 3,2605306024	 0,7629656792	 1,7595231533	
 3,2805338576	 0,6230032444	 1,7616128922	
 3,3005371129	 0,4901790619	 1,7637264729	
 3,3205403681	 0,3733015060	 1,7659246922	
 3,3405436233	 0,2814996243	 1,7680084705	
 3,3605468785	 0,2069377899	 1,7701160908	
 3,3805501338	 0,1530671120	 1,7723333836	
 3,4005533890	 0,1176524162	 1,7743408680	
 3,4205566442	 0,0942385197	 1,7763555050	
 3,4405598995	 0,0787818432	 1,7786085606	
 3,4605631547	 0,0706088543	 1,7809176445	
 3,4805664099	 0,0683462620	 1,7830634117	
 3,5005696652	 0,0702118874	 1,7851674557	
