QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,9429037571	 1,5082693100	
 0,0200032552	 0,9387421608	 1,5103745461	
 0,0400065105	 0,9342324734	 1,5121471882	
 0,0600097657	 0,9309720993	 1,5138375759	
 0,0800130209	 0,9364521503	 1,5157616138	
 0,1000162761	 0,9450471401	 1,5177595615	
 0,1200195314	 0,9427666664	 1,5198624134	
 0,1400227866	 0,9475123882	 1,5217447281	
 0,1600260418	 0,9513401985	 1,5238308907	
 0,1800292971	 0,9616053104	 1,5260314941	
 0,2000325523	 0,9689760208	 1,5281546116	
 0,2200358075	 0,9655201435	 1,5302395821	
 0,2400390628	 0,9797418118	 1,5325236320	
 0,2600423180	 0,9875619411	 1,5346610546	
 0,2800455732	 0,9873402119	 1,5368211269	
 0,3000488284	 1,0040593147	 1,5388715267	
 0,3200520837	 1,0141479969	 1,5404689312	
 0,3400553389	 1,0259461403	 1,5423274040	
 0,3600585941	 1,0381650925	 1,5445494652	
 0,3800618494	 1,0493278503	 1,5467119217	
 0,4000651046	 1,0717904568	 1,5487408638	
 0,4200683598	 1,0883438587	 1,5508151054	
 0,4400716150	 1,1038589478	 1,5529572964	
 0,4600748703	 1,1198604107	 1,5550363064	
 0,4800781255	 1,1426413059	 1,5570366383	
 0,5000813807	 1,1677348614	 1,5591311455	
 0,5200846360	 1,1766946316	 1,5612494946	
 0,5400878912	 1,1958646774	 1,5634620190	
 0,5600911464	 1,2208759785	 1,5656125546	
 0,5800944017	 1,2411367893	 1,5676105022	
 0,6000976569	 1,2692725658	 1,5698206425	
 0,6201009121	 1,2830018997	 1,5720427036	
 0,6401041673	 1,2984693050	 1,5739130974	
 0,6601074226	 1,3297688961	 1,5756952763	
 0,6801106778	 1,3536000252	 1,5775001049	
 0,7001139330	 1,3808798790	 1,5793979168	
 0,7201171883	 1,4055085182	 1,5815258026	
 0,7401204435	 1,4268171787	 1,5837919712	
 0,7601236987	 1,4551579952	 1,5857827663	
 0,7801269539	 1,4807093143	 1,5879738331	
 0,8001302092	 1,5038192272	 1,5901291370	
 0,8201334644	 1,5278005600	 1,5920674801	
 0,8401367196	 1,5502119064	 1,5941965580	
 0,8601399749	 1,5697920322	 1,5961182117	
 0,8801432301	 1,6031193733	 1,5981185436	
 0,9001464853	 1,6312468052	 1,6004419327	
 0,9201497406	 1,6482400894	 1,6028082371	
 0,9401529958	 1,6715574265	 1,6047632694	
 0,9601562510	 1,6895961761	 1,6065979004	
 0,9801595062	 1,7164766788	 1,6085350513	
 1,0001627615	 1,7463302612	 1,6105055809	
 1,0201660167	 1,7502021790	 1,6124677658	
 1,0401692719	 1,7623007298	 1,6144621372	
 1,0601725272	 1,7732894421	 1,6165614128	
 1,0801757824	 1,7641818523	 1,6186594963	
 1,1001790376	 1,7433261871	 1,6206598282	
 1,1201822928	 1,6983890533	 1,6228210926	
 1,1401855481	 1,6352856159	 1,6248309612	
 1,1601888033	 1,5399622917	 1,6267514229	
 1,1801920585	 1,4018690586	 1,6287934780	
 1,2001953138	 1,2654447556	 1,6310906410	
 1,2201985690	 1,1190116405	 1,6332924366	
 1,2402018242	 0,9547615051	 1,6351854801	
 1,2602050795	 0,7965862751	 1,6371166706	
 1,2802083347	 0,6517708302	 1,6391599178	
 1,3002115899	 0,5472052097	 1,6411697865	
 1,3202148451	 0,4598379135	 1,6429114342	
 1,3402181004	 0,3934943676	 1,6448128223	
 1,3602213556	 0,3554129601	 1,6469740868	
 1,3802246108	 0,3272283077	 1,6490566730	
 1,4002278661	 0,3184771538	 1,6511619091	
 1,4202311213	 0,3167700768	 1,6532123089	
 1,4402343765	 0,3150367737	 1,6553056240	
 1,4602376317	 0,3213524818	 1,6573607922	
 1,4802408870	 0,3307485580	 1,6591668129	
 1,5002441422	 0,3404390812	 1,6609835625	
 1,5202473974	 0,3551435471	 1,6628956795	
 1,5402506527	 0,3747177124	 1,6650605202	
 1,5602539079	 0,3932940960	 1,6674256325	
 1,5802571631	 0,4134988785	 1,6696393490	
 1,6002604184	 0,4377806187	 1,6716933250	
 1,6202636736	 0,4623782635	 1,6735291481	
 1,6402669288	 0,4879665375	 1,6754686832	
 1,6602701840	 0,5140233040	 1,6775584221	
 1,6802734393	 0,5402338505	 1,6793203354	
 1,7002766945	 0,5722534657	 1,6811466217	
 1,7202799497	 0,6034290791	 1,6830754280	
 1,7402832050	 0,6307792664	 1,6851615906	
 1,7602864602	 0,6586122513	 1,6872942448	
 1,7802897154	 0,6867587566	 1,6892778873	
 1,8002929707	 0,7066082954	 1,6911566257	
 1,8202962259	 0,7247483730	 1,6931319237	
 1,8402994811	 0,7431054115	 1,6952919960	
 1,8603027363	 0,7555758953	 1,6974139214	
 1,8803059916	 0,7712459564	 1,6994917393	
 1,9003092468	 0,7788491249	 1,7014133930	
 1,9203125020	 0,7820463181	 1,7034256458	
 1,9403157573	 0,7933509350	 1,7055058479	
 1,9603190125	 0,8004581928	 1,7075443268	
 1,9803222677	 0,8056998253	 1,7095935345	
 2,0003255229	 0,8116757870	 1,7115724087	
 2,0203287782	 0,8163070679	 1,7135632038	
 2,0403320334	 0,8201646805	 1,7156052589	
 2,0603352886	 0,8265352249	 1,7177963257	
 2,0803385439	 0,8314752579	 1,7198860645	
 2,1003417991	 0,8263909817	 1,7218482494	
 2,1203450543	 0,8262562752	 1,7238044739	
 2,1403483096	 0,8212089539	 1,7259216309	
 2,1603515648	 0,8169186115	 1,7280602455	
 2,1803548200	 0,8217418194	 1,7300701141	
 2,2003580752	 0,8206784725	 1,7320156097	
 2,2203613305	 0,8192420006	 1,7340493202	
 2,2403645857	 0,8211517334	 1,7361903191	
 2,2603678409	 0,8191001415	 1,7381834984	
 2,2803710962	 0,8204150200	 1,7402672768	
 2,3003743514	 0,8212816715	 1,7421734333	
 2,3203776066	 0,8219122887	 1,7441618443	
 2,3403808618	 0,8264601231	 1,7465031147	
 2,3603841171	 0,8291792870	 1,7485249043	
 2,3803873723	 0,8416342735	 1,7504167557	
 2,4003906275	 0,8492898941	 1,7525422573	
 2,4203938828	 0,8567047119	 1,7546379566	
 2,4403971380	 0,8669054508	 1,7567682266	
 2,4604003932	 0,8786582947	 1,7588400841	
 2,4804036485	 0,8927178383	 1,7609226704	
 2,5004069037	 0,9060108662	 1,7630100250	
 2,5204101589	 0,9239506721	 1,7651927471	
 2,5404134141	 0,9373509884	 1,7673122883	
 2,5604166694	 0,9505057335	 1,7692780495	
 2,5804199246	 0,9715735912	 1,7713880539	
 2,6004231798	 0,9921097755	 1,7732799053	
 2,6204264351	 1,0059523582	 1,7752146721	
 2,6404296903	 1,0332381725	 1,7774438858	
 2,6604329455	 1,0645151138	 1,7796385288	
 2,6804362007	 1,0812985897	 1,7816877365	
 2,7004394560	 1,0987770557	 1,7838227749	
 2,7204427112	 1,1190652847	 1,7860233784	
 2,7404459664	 1,1424744129	 1,7880034447	
 2,7604492217	 1,1705231667	 1,7898309231	
 2,7804524769	 1,2012815475	 1,7917811871	
 2,8004557321	 1,2283420563	 1,7940318584	
 2,8204589874	 1,2533116341	 1,7961335182	
 2,8404622426	 1,2768626213	 1,7980742455	
 2,8604654978	 1,3042366505	 1,8001139164	
 2,8804687530	 1,3292074203	 1,8020999432	
 2,9004720083	 1,3454687595	 1,8041384220	
 2,9204752635	 1,3726651669	 1,8061137199	
 2,9404785187	 1,4061927795	 1,8081080914	
 2,9604817740	 1,4430260658	 1,8100368977	
 2,9804850292	 1,4673614502	 1,8120634556	
 3,0004882844	 1,4916336536	 1,8142271042	
 3,0204915396	 1,5194559097	 1,8162703514	
 3,0404947949	 1,5372443199	 1,8183374405	
 3,0604980501	 1,5610039234	 1,8204939365	
 3,0805013053	 1,5856564045	 1,8226778507	
 3,1005045606	 1,6116690636	 1,8246805668	
 3,1205078158	 1,6338777542	 1,8266761303	
 3,1405110710	 1,6436362267	 1,8286991119	
 3,1605143263	 1,6613781452	 1,8305456638	
 3,1805175815	 1,6724133492	 1,8323075771	
 3,2005208367	 1,6828560829	 1,8342554569	
 3,2205240919	 1,6978943348	 1,8362224102	
 3,2405273472	 1,6916644573	 1,8380677700	
 3,2605306024	 1,6803884506	 1,8400001526	
 3,2805338576	 1,6353154182	 1,8420112133	
 3,3005371129	 1,5521359444	 1,8440544605	
 3,3205403681	 1,4380204678	 1,8459653854	
 3,3405436233	 1,2794208527	 1,8479001522	
 3,3605468785	 1,1228346825	 1,8500006199	
 3,3805501338	 0,9660637379	 1,8520712852	
 3,4005533890	 0,8160614967	 1,8542587757	
 3,4205566442	 0,6961691380	 1,8564414978	
 3,4405598995	 0,6074583530	 1,8584537506	
 3,4605631547	 0,5530607700	 1,8604004383	
 3,4805664099	 0,5195498466	 1,8623936176	
 3,5005696652	 0,5079555511	 1,8644726276	
