QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,4664683342	 1,4464437962	
 0,0200032552	 0,4691851139	 1,4464449883	
 0,0400065105	 0,4699134827	 1,4464414120	
 0,0600097657	 0,4704928398	 1,4464473724	
 0,0800130209	 0,4698371887	 1,4464509487	
 0,1000162761	 0,4696440697	 1,4464569092	
 0,1200195314	 0,4702043533	 1,4464521408	
 0,1400227866	 0,4684233665	 1,4464390278	
 0,1600260418	 0,4683685303	 1,4464426041	
 0,1800292971	 0,4674279690	 1,4464437962	
 0,2000325523	 0,4667949677	 1,4466142654	
 0,2200358075	 0,4826366901	 1,4466631413	
 0,2400390628	 0,5277609825	 1,4476180077	
 0,2600423180	 0,5931401253	 1,4505910873	
 0,2800455732	 0,6656336784	 1,4544785023	
 0,3000488284	 0,7318067551	 1,4582049847	
 0,3200520837	 0,7849538326	 1,4620161057	
 0,3400553389	 0,8352172375	 1,4658653736	
 0,3600585941	 0,8855652809	 1,4695799351	
 0,3800618494	 0,9271407127	 1,4731609821	
 0,4000651046	 0,9601676464	 1,4771556854	
 0,4200683598	 0,9870719910	 1,4811182022	
 0,4400716150	 1,0275685787	 1,4843523502	
 0,4600748703	 1,0782933235	 1,4874637127	
 0,4800781255	 1,1145913601	 1,4907789230	
 0,5000813807	 1,1536443233	 1,4940178394	
 0,5200846360	 1,2058401108	 1,4973270893	
 0,5400878912	 1,2563133240	 1,5006947517	
 0,5600911464	 1,3093841076	 1,5036714077	
 0,5800944017	 1,3740324974	 1,5067958832	
 0,6000976569	 1,4401221275	 1,5094137192	
 0,6201009121	 1,5020680428	 1,5112614632	
 0,6401041673	 1,5562832355	 1,5136349201	
 0,6601074226	 1,6134738922	 1,5166258812	
 0,6801106778	 1,6735434532	 1,5194106102	
 0,7001139330	 1,7397272587	 1,5219032764	
 0,7201171883	 1,8044018745	 1,5243363380	
 0,7401204435	 1,8539381027	 1,5269875526	
 0,7601236987	 1,8983769417	 1,5293073654	
 0,7801269539	 1,9622623920	 1,5313184261	
 0,8001302092	 2,0135891438	 1,5328478813	
 0,8201334644	 2,0609652996	 1,5348744392	
 0,8401367196	 2,1202886105	 1,5376412868	
 0,8601399749	 2,1522796154	 1,5397655964	
 0,8801432301	 2,1734046936	 1,5418589115	
 0,9001464853	 2,2051882744	 1,5440559387	
 0,9201497406	 2,2421276569	 1,5462350845	
 0,9401529958	 2,2811651230	 1,5484356880	
 0,9601562510	 2,3075699806	 1,5506863594	
 0,9801595062	 2,3167049885	 1,5529167652	
 1,0001627615	 2,3208856583	 1,5549933910	
 1,0201660167	 2,3291194439	 1,5571916103	
 1,0401692719	 2,3387086391	 1,5593612194	
 1,0601725272	 2,3345470428	 1,5615332127	
 1,0801757824	 2,3369848728	 1,5638232231	
 1,1001790376	 2,3385548592	 1,5658712387	
 1,1201822928	 2,3462915421	 1,5678727627	
 1,1401855481	 2,3432815075	 1,5701544285	
 1,1601888033	 2,3346006870	 1,5722775459	
 1,1801920585	 2,3171162605	 1,5740537643	
 1,2001953138	 2,2671949863	 1,5760350227	
 1,2201985690	 2,1774172783	 1,5779781342	
 1,2402018242	 2,0646226406	 1,5799343586	
 1,2602050795	 1,9289755821	 1,5820729733	
 1,2802083347	 1,7542612553	 1,5842878819	
 1,3002115899	 1,5589261055	 1,5864133835	
 1,3202148451	 1,3556480408	 1,5887129307	
 1,3402181004	 1,1445939541	 1,5908312798	
 1,3602213556	 0,9388029575	 1,5927147865	
 1,3802246108	 0,7493424416	 1,5948343277	
 1,4002278661	 0,5795705318	 1,5968620777	
 1,4202311213	 0,4507696629	 1,5989816189	
 1,4402343765	 0,3511428833	 1,6013765335	
 1,4602376317	 0,2774178982	 1,6036999226	
 1,4802408870	 0,2272701263	 1,6055214405	
 1,5002441422	 0,1928520203	 1,6073894501	
 1,5202473974	 0,1712715626	 1,6093409061	
 1,5402506527	 0,1615512371	 1,6113615036	
 1,5602539079	 0,1579570770	 1,6135466099	
 1,5802571631	 0,1519477367	 1,6155672073	
 1,6002604184	 0,1490581036	 1,6176402569	
 1,6202636736	 0,1519322395	 1,6199529171	
 1,6402669288	 0,1565945148	 1,6221666336	
 1,6602701840	 0,1604330540	 1,6241300106	
 1,6802734393	 0,1642835140	 1,6261065006	
 1,7002766945	 0,1707243919	 1,6278827190	
 1,7202799497	 0,1793646812	 1,6302013397	
 1,7402832050	 0,1918411255	 1,6327273846	
 1,7602864602	 0,2056932449	 1,6345715523	
 1,7802897154	 0,2221012115	 1,6365015507	
 1,8002929707	 0,2419793606	 1,6385293007	
 1,8202962259	 0,2648735046	 1,6406631470	
 1,8402994811	 0,2903735638	 1,6426062584	
 1,8603027363	 0,3183078766	 1,6444575787	
 1,8803059916	 0,3468191624	 1,6465961933	
 1,9003092468	 0,3783130646	 1,6486895084	
 1,9203125020	 0,4140639305	 1,6507387161	
 1,9403157573	 0,4509615898	 1,6527819633	
 1,9603190125	 0,4870176315	 1,6549587250	
 1,9803222677	 0,5237603188	 1,6571152210	
 2,0003255229	 0,5568838120	 1,6590511799	
 2,0203287782	 0,5871975422	 1,6609036922	
 2,0403320334	 0,6157302856	 1,6627943516	
 2,0603352886	 0,6349301338	 1,6648936272	
 2,0803385439	 0,6572723389	 1,6672194004	
 2,1003417991	 0,6807613373	 1,6695415974	
 2,1203450543	 0,6977319717	 1,6716778278	
 2,1403483096	 0,7213497162	 1,6734910011	
 2,1603515648	 0,7509553432	 1,6754877567	
 2,1803548200	 0,7773625851	 1,6776823997	
 2,2003580752	 0,8021664619	 1,6794717312	
 2,2203613305	 0,8242368698	 1,6813635826	
 2,2403645857	 0,8449327946	 1,6833877563	
 2,2603678409	 0,8647549152	 1,6855192184	
 2,2803710962	 0,8800375462	 1,6877281666	
 2,3003743514	 0,8988440037	 1,6897726059	
 2,3203776066	 0,9099066257	 1,6916942596	
 2,3403808618	 0,9251463413	 1,6936802864	
 2,3603841171	 0,9499609470	 1,6957950592	
 2,3803873723	 0,9687876701	 1,6980111599	
 2,4003906275	 0,9845614433	 1,7001235485	
 2,4203938828	 1,0025095940	 1,7020976543	
 2,4403971380	 1,0268592834	 1,7041993141	
 2,4604003932	 1,0554635525	 1,7062866688	
 2,4804036485	 1,0809671879	 1,7084360123	
 2,5004069037	 1,1124134064	 1,7105698586	
 2,5204101589	 1,1542224884	 1,7125475407	
 2,5404134141	 1,1872363091	 1,7146086693	
 2,5604166694	 1,2272429466	 1,7168462276	
 2,5804199246	 1,2679922581	 1,7189812660	
 2,6004231798	 1,3098275661	 1,7208683491	
 2,6204264351	 1,3525128365	 1,7228555679	
 2,6404296903	 1,3950610161	 1,7249119282	
 2,6604329455	 1,4482462406	 1,7268383503	
 2,6804362007	 1,4967560768	 1,7288672924	
 2,7004394560	 1,5380334854	 1,7309463024	
 2,7204427112	 1,5780138969	 1,7329263687	
 2,7404459664	 1,6262197495	 1,7349731922	
 2,7604492217	 1,6782009602	 1,7370462418	
 2,7804524769	 1,7207813263	 1,7390334606	
 2,8004557321	 1,7645764351	 1,7410910130	
 2,8204589874	 1,8056631088	 1,7428040504	
 2,8404622426	 1,8464517593	 1,7447733879	
 2,8604654978	 1,8984305859	 1,7471456528	
 2,8804687530	 1,9336044788	 1,7490947247	
 2,9004720083	 1,9691705704	 1,7509806156	
 2,9204752635	 2,0061159134	 1,7529666424	
 2,9404785187	 2,0565593243	 1,7549705505	
 2,9604817740	 2,1025538445	 1,7570865154	
 2,9804850292	 2,1295440197	 1,7591118813	
 3,0004882844	 2,1448230743	 1,7611658573	
 3,0204915396	 2,1557676792	 1,7631590366	
 3,0404947949	 2,1870875359	 1,7651462555	
 3,0604980501	 2,2159981728	 1,7671644688	
 3,0805013053	 2,2228407860	 1,7691171169	
 3,1005045606	 2,2283506393	 1,7711818218	
 3,1205078158	 2,2383332253	 1,7730283737	
 3,1405110710	 2,2440552711	 1,7748034000	
 3,1605143263	 2,2425603867	 1,7767202854	
 3,1805175815	 2,2371566296	 1,7788624763	
 3,2005208367	 2,2287023067	 1,7809832096	
 3,2205240919	 2,2304677963	 1,7829406261	
 3,2405273472	 2,2309005260	 1,7849373817	
 3,2605306024	 2,2130072117	 1,7869699001	
 3,2805338576	 2,2022950649	 1,7887759209	
 3,3005371129	 2,1695303917	 1,7905843258	
 3,3205403681	 2,1044886112	 1,7926919460	
 3,3405436233	 2,0106995106	 1,7948031425	
 3,3605468785	 1,8799483776	 1,7967736721	
 3,3805501338	 1,7115926743	 1,7987537384	
 3,4005533890	 1,5073204041	 1,8007063866	
 3,4205566442	 1,2778115273	 1,8025887012	
 3,4405598995	 1,0626733303	 1,8045771122	
 3,4605631547	 0,8637869358	 1,8065869808	
 3,4805664099	 0,6764042377	 1,8085229397	
 3,5005696652	 0,5237388611	 1,8104040623	
