QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 0,6253397465	 1,4464116096	
 0,0200032552	 0,6231105328	 1,4464271069	
 0,0400065105	 0,6256306171	 1,4464378357	
 0,0600097657	 0,6280100346	 1,4464318752	
 0,0800130209	 0,6266760826	 1,4464187622	
 0,1000162761	 0,6240761280	 1,4464044571	
 0,1200195314	 0,6243515015	 1,4464032650	
 0,1400227866	 0,6249845028	 1,4464080334	
 0,1600260418	 0,6257057190	 1,4464187622	
 0,1800292971	 0,6261336803	 1,4464235306	
 0,2000325523	 0,6237518787	 1,4464163780	
 0,2200358075	 0,6226742268	 1,4464116096	
 0,2400390628	 0,6252980232	 1,4464271069	
 0,2600423180	 0,6247484684	 1,4464294910	
 0,2800455732	 0,6236815453	 1,4464163780	
 0,3000488284	 0,6257891655	 1,4464163780	
 0,3200520837	 0,6273603439	 1,4464151859	
 0,3400553389	 0,6253468990	 1,4464139938	
 0,3600585941	 0,6271278858	 1,4464128017	
 0,3800618494	 0,6268310547	 1,4464092255	
 0,4000651046	 0,6228601933	 1,4464008808	
 0,4200683598	 0,6277120113	 1,4464128017	
 0,4400716150	 0,6294703484	 1,4464128017	
 0,4600748703	 0,6267082691	 1,4464163780	
 0,4800781255	 0,6263339520	 1,4464211464	
 0,5000813807	 0,6239438057	 1,4464128017	
 0,5200846360	 0,6224107742	 1,4464223385	
 0,5400878912	 0,6309235096	 1,4464282990	
 0,5600911464	 0,6315207481	 1,4464151859	
 0,5800944017	 0,6243789196	 1,4464068413	
 0,6000976569	 0,6257104874	 1,4464151859	
 0,6201009121	 0,6290876865	 1,4464104176	
 0,6401041673	 0,6296443939	 1,4464044571	
 0,6601074226	 0,6263947487	 1,4464139938	
 0,6801106778	 0,6238949299	 1,4464139938	
 0,7001139330	 0,6252574921	 1,4468240738	
 0,7201171883	 0,6335353851	 1,4469408989	
 0,7401204435	 0,6630635262	 1,4476776123	
 0,7601236987	 0,7171523571	 1,4506661892	
 0,7801269539	 0,7816839218	 1,4544570446	
 0,8001302092	 0,8454012871	 1,4581048489	
 0,8201334644	 0,9222304821	 1,4619410038	
 0,8401367196	 1,0067319870	 1,4657437801	
 0,8601399749	 1,0965466499	 1,4696037769	
 0,8801432301	 1,2152957916	 1,4732825756	
 0,9001464853	 1,3739347458	 1,4772164822	
 0,9201497406	 1,5538048744	 1,4810812473	
 0,9401529958	 1,7250645161	 1,4844191074	
 0,9601562510	 1,8278825283	 1,4877319336	
 0,9801595062	 1,8468856812	 1,4911246300	
 1,0001627615	 1,8011009693	 1,4941537380	
 1,0201660167	 1,6712403297	 1,4975261688	
 1,0401692719	 1,5147936344	 1,5016639233	
 1,0601725272	 1,3492941856	 1,5049731731	
 1,0801757824	 1,1841559410	 1,5075409412	
 1,1001790376	 1,0552942753	 1,5098178387	
 1,1201822928	 0,9217143059	 1,5118265152	
 1,1401855481	 0,8078420162	 1,5144968033	
 1,1601888033	 0,7176351547	 1,5176260471	
 1,1801920585	 0,6181418896	 1,5203011036	
 1,2001953138	 0,5276644230	 1,5221416950	
 1,2201985690	 0,4386115074	 1,5243220329	
 1,2402018242	 0,3622746468	 1,5269184113	
 1,2602050795	 0,2996075153	 1,5292298794	
 1,2802083347	 0,2335560322	 1,5313768387	
 1,3002115899	 0,1800918579	 1,5336191654	
 1,3202148451	 0,1449453831	 1,5360188484	
 1,3402181004	 0,1179575920	 1,5379929543	
 1,3602213556	 0,0968849659	 1,5402925014	
 1,3802246108	 0,0800836086	 1,5427684784	
 1,4002278661	 0,0690948963	 1,5448272228	
 1,4202311213	 0,0627839565	 1,5469324589	
 1,4402343765	 0,0575661659	 1,5494334698	
 1,4602376317	 0,0546789169	 1,5517675877	
 1,4802408870	 0,0536203384	 1,5539371967	
 1,5002441422	 0,0526034832	 1,5560054779	
 1,5202473974	 0,0516974926	 1,5580105782	
 1,5402506527	 0,0518035889	 1,5601646900	
 1,5602539079	 0,0516974926	 1,5625059605	
 1,5802571631	 0,0518274307	 1,5646672249	
 1,6002604184	 0,0524282455	 1,5666985512	
 1,6202636736	 0,0526845455	 1,5688574314	
 1,6402669288	 0,0537145138	 1,5710937977	
 1,6602701840	 0,0555479527	 1,5730690956	
 1,6802734393	 0,0576961040	 1,5748643875	
 1,7002766945	 0,0598323345	 1,5767753124	
 1,7202799497	 0,0621533394	 1,5786623955	
 1,7402832050	 0,0657415390	 1,5807151794	
 1,7602864602	 0,0701844692	 1,5829527378	
 1,7802897154	 0,0754988194	 1,5849995613	
 1,8002929707	 0,0820016861	 1,5871787071	
 1,8202962259	 0,0905597210	 1,5894055367	
 1,8402994811	 0,1008760929	 1,5914297104	
 1,8603027363	 0,1139044762	 1,5936613083	
 1,8803059916	 0,1301038265	 1,5956175327	
 1,9003092468	 0,1485002041	 1,5975558758	
 1,9203125020	 0,1692581177	 1,5998864174	
 1,9403157573	 0,1914143562	 1,6022562981	
 1,9603190125	 0,2131700516	 1,6044569016	
 1,9803222677	 0,2320253849	 1,6063272953	
 2,0003255229	 0,2528095245	 1,6083049774	
 2,0203287782	 0,2715599537	 1,6103672981	
 2,0403320334	 0,2831268311	 1,6122937202	
 2,0603352886	 0,2944445610	 1,6142404079	
 2,0803385439	 0,3050613403	 1,6163241863	
 2,1003417991	 0,3176474571	 1,6184556484	
 2,1203450543	 0,3316664696	 1,6206693649	
 2,1403483096	 0,3441441059	 1,6229236126	
 2,1603515648	 0,3594255447	 1,6248202324	
 2,1803548200	 0,3744947910	 1,6268026829	
 2,2003580752	 0,3880989552	 1,6289794445	
 2,2203613305	 0,4061472416	 1,6312551498	
 2,2403645857	 0,4274642467	 1,6334342957	
 2,2603678409	 0,4472887516	 1,6354179382	
 2,2803710962	 0,4696607590	 1,6374218464	
 2,3003743514	 0,4930603504	 1,6394805908	
 2,3203776066	 0,5176055431	 1,6415846348	
 2,3403808618	 0,5437052250	 1,6436004639	
 2,3603841171	 0,5722522736	 1,6456127167	
 2,3803873723	 0,6059229374	 1,6477739811	
 2,4003906275	 0,6317090988	 1,6499924660	
 2,4203938828	 0,6594860554	 1,6520726681	
 2,4403971380	 0,6893754005	 1,6541147232	
 2,4604003932	 0,7142174244	 1,6562700272	
 2,4804036485	 0,7510101795	 1,6582405567	
 2,5004069037	 0,7841432095	 1,6600656509	
 2,5204101589	 0,8093917370	 1,6620290279	
 2,5404134141	 0,8457553387	 1,6639876366	
 2,5604166694	 0,8780956268	 1,6661834717	
 2,5804199246	 0,9119284153	 1,6685247421	
 2,6004231798	 0,9538841248	 1,6706371307	
 2,6204264351	 0,9879791737	 1,6724789143	
 2,6404296903	 1,0217022896	 1,6744029522	
 2,6604329455	 1,0710680485	 1,6765439510	
 2,6804362007	 1,1325180531	 1,6785454750	
 2,7004394560	 1,1791205406	 1,6803872585	
 2,7204427112	 1,2341821194	 1,6823530197	
 2,7404459664	 1,3204169273	 1,6845560074	
 2,7604492217	 1,4093673229	 1,6867637634	
 2,7804524769	 1,4928996563	 1,6887700558	
 2,8004557321	 1,5830433369	 1,6908121109	
 2,8204589874	 1,6616988182	 1,6929411888	
 2,8404622426	 1,6995954514	 1,6949892044	
 2,8604654978	 1,7082047462	 1,6970956326	
 2,8804687530	 1,6926491261	 1,6992437840	
 2,9004720083	 1,6540443897	 1,7012310028	
 2,9204752635	 1,5847909451	 1,7033660412	
 2,9404785187	 1,4909803867	 1,7056405544	
 2,9604817740	 1,4004027843	 1,7077708244	
 2,9804850292	 1,3109707832	 1,7098188400	
 3,0004882844	 1,2099432945	 1,7119324207	
 3,0204915396	 1,1068964005	 1,7139947414	
 3,0404947949	 1,0174727440	 1,7160177231	
 3,0604980501	 0,9292507172	 1,7181050777	
 3,0805013053	 0,8498227596	 1,7202067375	
 3,1005045606	 0,7763350010	 1,7223596573	
 3,1205078158	 0,6922423840	 1,7244124413	
 3,1405110710	 0,6214773655	 1,7264580727	
 3,1605143263	 0,5455160141	 1,7285299301	
 3,1805175815	 0,4700005054	 1,7306399345	
 3,2005208367	 0,4022562504	 1,7327260971	
 3,2205240919	 0,3329563141	 1,7347741127	
 3,2405273472	 0,2754092216	 1,7368841171	
 3,2605306024	 0,2185297012	 1,7390167713	
 3,2805338576	 0,1723039150	 1,7412030697	
 3,3005371129	 0,1335811615	 1,7429900169	
 3,3205403681	 0,1023125648	 1,7450356483	
 3,3405436233	 0,0834619999	 1,7474603653	
 3,3605468785	 0,0688195229	 1,7495012283	
 3,3805501338	 0,0585317612	 1,7515289783	
 3,4005533890	 0,0542557240	 1,7536103725	
 3,4205566442	 0,0533092022	 1,7555785179	
 3,4405598995	 0,0541353226	 1,7576563358	
 3,4605631547	 0,0553989410	 1,7600977421	
 3,4805664099	 0,0583052635	 1,7621529102	
 3,5005696652	 0,0640022755	 1,7641413212	
