--------------------------------------------------------------------------------
.//Study_2508_Coffee//data//Holm_Kol_Bohne.csv
--------------------------------------------------------------------------------
Bin     | E_range (eV)      | El. | Line  | Energy (eV) | Int.  
                            | Sm  | Mb    | 1105.7      | 0.997 
                            | Eu  | Ma    | 1121.5      | 1.0   
                            | Tm  | Mz    | 1129.1      | 0.003 
Bin 115 | 1140.0 - 1180.0   | ---------------------------------
                            | As  | Ln    | 1154.4      | 0.058 
                            | Nd  | Mg    | 1176.5      | 1.0   
                            | Eu  | Mb    | 1152.6      | 0.997 
Bin 125 | 1240.0 - 1280.0   | ---------------------------------
                            | Mg  | Ka2   | 1253.4      | 0.297 
                            | Mg  | Ka1   | 1253.79     | 0.592 
                            | Se  | Ln    | 1244.7      | 0.056 
                            | Tb  | Mb    | 1269.2      | 0.997 
                            | Hf  | Mz    | 1277.8      | 0.003 
Bin 138 | 1370.0 - 1410.0   | ---------------------------------
                            | As  | Lb4   | 1380.8      | 0.348 
                            | As  | Lb3   | 1385.8      | 0.493 
                            | Se  | La2   | 1378.4      | 0.094 
                            | Se  | La1   | 1379.3      | 0.856 
                            | Kr  | Ll    | 1385.6      | 0.046 
                            | Gd  | Mg    | 1401.4      | 1.0   
                            | Ho  | Mb    | 1383.4      | 0.997 
                            | Er  | Ma    | 1404.3      | 1.0   
                            | W   | Mz    | 1381.6      | 0.003 
Bin 149 | 1480.0 - 1520.0   | ---------------------------------
                            | Al  | Ka2   | 1486.1      | 0.297 
                            | Al  | Ka1   | 1486.5      | 0.591 
                            | Se  | Lb4   | 1485.5      | 0.347 
                            | Se  | Lb3   | 1491.3      | 0.492 
                            | Br  | La2   | 1480.0      | 0.094 
                            | Br  | La1   | 1481.0      | 0.857 
                            | Tm  | Mb    | 1510.4      | 0.997 
                            | Os  | Mz    | 1481.9      | 0.003 
Bin 160 | 1590.0 - 1630.0   | ---------------------------------
                            | Br  | Lb4   | 1593.0      | 0.347 
                            | Br  | Lb3   | 1600.0      | 0.491 
                            | Pt  | Mz    | 1592.9      | 0.003 
Bin 167 | 1660.0 - 1700.0   | ---------------------------------
                            | Si  | Ka3   | 1689.3      | 0.0   
                            | Kr  | Lb4   | 1698.8      | 0.346 
                            | Rb  | La2   | 1691.0      | 0.095 
                            | Rb  | La1   | 1692.0      | 0.86  
                            | Y   | Ll    | 1688.0      | 0.041 
Bin 171 | 1700.0 - 1740.0   | ---------------------------------
                            | Si  | Ka2   | 1739.2      | 0.297 
                            | Si  | Ka1   | 1739.8      | 0.591 
                            | Kr  | Lb3   | 1706.6      | 0.49  
                            | Tm  | Mg    | 1709.5      | 1.0   
                            | Hf  | Mb    | 1700.1      | 0.997 
                            | Ta  | Ma    | 1711.5      | 1.0   
