QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 1,6500890255	 1,4450979233	
 0,0200032552	 1,6514170170	 1,4451098442	
 0,0400065105	 1,6512084007	 1,4451169968	
 0,0600097657	 1,6496872902	 1,4451098442	
 0,0800130209	 1,6484081745	 1,4451134205	
 0,1000162761	 1,6500711441	 1,4451110363	
 0,1200195314	 1,6495776176	 1,4451122284	
 0,1400227866	 1,6496944427	 1,4451301098	
 0,1600260418	 1,6505920887	 1,4451217651	
 0,1800292971	 1,6497635841	 1,4451074600	
 0,2000325523	 1,6495049000	 1,4451098442	
 0,2200358075	 1,6493737698	 1,4451074600	
 0,2400390628	 1,6513562202	 1,4451074600	
 0,2600423180	 1,6499912739	 1,4451098442	
 0,2800455732	 1,6486978531	 1,4451122284	
 0,3000488284	 1,6488170624	 1,4451014996	
 0,3200520837	 1,6484594345	 1,4450979233	
 0,3400553389	 1,6492009163	 1,4451026917	
 0,3600585941	 1,6494047642	 1,4450943470	
 0,3800618494	 1,6511738300	 1,4451014996	
 0,4000651046	 1,6505861282	 1,4451062679	
 0,4200683598	 1,6470134258	 1,4451062679	
 0,4400716150	 1,6465187073	 1,4451205730	
 0,4600748703	 1,6483640671	 1,4451193810	
 0,4800781255	 1,6503393650	 1,4451122284	
 0,5000813807	 1,6534698009	 1,4451158047	
 0,5200846360	 1,6535174847	 1,4451229572	
 0,5400878912	 1,6542506218	 1,4451217651	
 0,5600911464	 1,6548693180	 1,4451169968	
 0,5800944017	 1,6534471512	 1,4451479912	
 0,6000976569	 1,6561055183	 1,4450252056	
 0,6201009121	 1,7472362518	 1,4451539516	
 0,6401041673	 1,9541621208	 1,4469969273	
 0,6601074226	 2,1706700325	 1,4506161213	
 0,6801106778	 2,2887265682	 1,4548385143	
 0,7001139330	 2,2465491295	 1,4587187767	
 0,7201171883	 2,0510196686	 1,4626038074	
 0,7401204435	 1,7670595646	 1,4663004875	
 0,7601236987	 1,4889919758	 1,4696753025	
 0,7801269539	 1,2590646744	 1,4732420444	
 0,8001302092	 1,0818755627	 1,4773428440	
 0,8201334644	 0,9524834156	 1,4811444283	
 0,8401367196	 0,8453905582	 1,4843094349	
 0,8601399749	 0,7505929470	 1,4873480797	
 0,8801432301	 0,6715381145	 1,4905226231	
 0,9001464853	 0,6008768082	 1,4935195446	
 0,9201497406	 0,5368077755	 1,4968359470	
 0,9401529958	 0,4791212082	 1,5006220341	
 0,9601562510	 0,4231429100	 1,5034782887	
 0,9801595062	 0,3709697723	 1,5059936047	
 1,0001627615	 0,3243386745	 1,5093064308	
 1,0201660167	 0,2776694298	 1,5119683743	
 1,0401692719	 0,2340459824	 1,5137028694	
 1,0601725272	 0,1979053020	 1,5163779259	
 1,0801757824	 0,1690244675	 1,5190267563	
 1,1001790376	 0,1431012154	 1,5211772919	
 1,1201822928	 0,1190781593	 1,5232610703	
 1,1401855481	 0,1025152206	 1,5260326862	
 1,1601888033	 0,0889229774	 1,5289640427	
 1,1801920585	 0,0758528709	 1,5310728550	
 1,2001953138	 0,0678908825	 1,5326154232	
 1,2201985690	 0,0611782074	 1,5347647667	
 1,2402018242	 0,0561559200	 1,5370881557	
 1,2602050795	 0,0524318218	 1,5389180183	
 1,2802083347	 0,0481057167	 1,5411400795	
 1,3002115899	 0,0458920002	 1,5433418751	
 1,3202148451	 0,0453960896	 1,5453636646	
 1,3402181004	 0,0452220440	 1,5475726128	
 1,3602213556	 0,0456094742	 1,5497195721	
 1,3802246108	 0,0474238396	 1,5517246723	
 1,4002278661	 0,0504577160	 1,5538287163	
 1,4202311213	 0,0534749031	 1,5558576584	
 1,4402343765	 0,0568592548	 1,5579426289	
 1,4602376317	 0,0620508194	 1,5602064133	
 1,4802408870	 0,0677859783	 1,5624284744	
 1,5002441422	 0,0737595558	 1,5645897388	
 1,5202473974	 0,0819158554	 1,5664589405	
 1,5402506527	 0,0927686691	 1,5685331821	
 1,5602539079	 0,1056301594	 1,5708935261	
 1,5802571631	 0,1215887070	 1,5728449821	
 1,6002604184	 0,1426470280	 1,5746438503	
 1,6202636736	 0,1704859734	 1,5766119957	
 1,6402669288	 0,2048718929	 1,5786242485	
 1,6602701840	 0,2457273006	 1,5807735920	
 1,6802734393	 0,2887594700	 1,5830373764	
 1,7002766945	 0,3296160698	 1,5850698948	
 1,7202799497	 0,3710436821	 1,5870893002	
 1,7402832050	 0,4081821442	 1,5892457962	
 1,7602864602	 0,4385721684	 1,5912067890	
 1,7802897154	 0,4656219482	 1,5932393074	
 1,8002929707	 0,4923737049	 1,5954232216	
 1,8202962259	 0,5159902573	 1,5975010395	
 1,8402994811	 0,5376410484	 1,5995895863	
 1,8603027363	 0,5620789528	 1,6018176079	
 1,8803059916	 0,5866479874	 1,6040122509	
 1,9003092468	 0,6116271019	 1,6060507298	
 1,9203125020	 0,6384575367	 1,6080057621	
 1,9403157573	 0,6660509109	 1,6098535061	
 1,9603190125	 0,6953668594	 1,6117858887	
 1,9803222677	 0,7287526131	 1,6138195992	
 2,0003255229	 0,7655501366	 1,6157424450	
 2,0203287782	 0,8038520813	 1,6177558899	
 2,0403320334	 0,8412528038	 1,6199934483	
 2,0603352886	 0,8822894096	 1,6221177578	
 2,0803385439	 0,9259903431	 1,6240882874	
 2,1003417991	 0,9684753418	 1,6261470318	
 2,1203450543	 1,0124933720	 1,6283392906	
 2,1403483096	 1,0606539249	 1,6308176517	
 2,1603515648	 1,1129713058	 1,6329789162	
 2,1803548200	 1,1677718163	 1,6347432137	
 2,2003580752	 1,2295949459	 1,6367650032	
 2,2203613305	 1,3010406494	 1,6389119625	
 2,2403645857	 1,3790011406	 1,6410779953	
 2,2603678409	 1,4707672596	 1,6429471970	
 2,2803710962	 1,5781128407	 1,6447007656	
 2,3003743514	 1,6942894459	 1,6467642784	
 2,3203776066	 1,8106925488	 1,6488921642	
 2,3403808618	 1,9178950787	 1,6511619091	
 2,3603841171	 2,0149207115	 1,6531813145	
 2,3803873723	 2,0936596394	 1,6551327705	
 2,4003906275	 2,1396672726	 1,6573619843	
 2,4203938828	 2,1514868736	 1,6592907906	
 2,4403971380	 2,1200072765	 1,6611313820	
 2,4604003932	 2,0445144176	 1,6630065441	
 2,4804036485	 1,9454658031	 1,6650927067	
 2,5004069037	 1,8213105202	 1,6673374176	
 2,5204101589	 1,6831994057	 1,6695761681	
 2,5404134141	 1,5474987030	 1,6716396809	
 2,5604166694	 1,4130234718	 1,6733837128	
 2,5804199246	 1,2957942486	 1,6752696037	
 2,6004231798	 1,1940193176	 1,6773915291	
 2,6204264351	 1,0942053795	 1,6793656349	
 2,6404296903	 1,0095369816	 1,6811430454	
 2,6604329455	 0,9407031536	 1,6831195354	
 2,6804362007	 0,8766198158	 1,6853284836	
 2,7004394560	 0,8174204826	 1,6874396801	
 2,7204427112	 0,7637321949	 1,6894352436	
 2,7404459664	 0,7144939899	 1,6914188862	
 2,7604492217	 0,6673252583	 1,6934204102	
 2,7804524769	 0,6214857101	 1,6953861713	
 2,8004557321	 0,5785858631	 1,6974353790	
 2,8204589874	 0,5371439457	 1,6995167732	
 2,8404622426	 0,4967832565	 1,7015171051	
 2,8604654978	 0,4604732990	 1,7036354542	
 2,8804687530	 0,4222595692	 1,7058420181	
 2,9004720083	 0,3845667839	 1,7080092430	
 2,9204752635	 0,3519308567	 1,7100238800	
 2,9404785187	 0,3178524971	 1,7120814323	
 2,9604817740	 0,2854013443	 1,7142128944	
 2,9804850292	 0,2546846867	 1,7162036896	
 3,0004882844	 0,2237689495	 1,7181670666	
 3,0204915396	 0,1949644089	 1,7202472687	
 3,0404947949	 0,1677894592	 1,7223596573	
 3,0604980501	 0,1444685459	 1,7243289948	
 3,0805013053	 0,1253116131	 1,7264199257	
 3,1005045606	 0,1086783409	 1,7285418510	
 3,1205078158	 0,0950694084	 1,7307019234	
 3,1405110710	 0,0859987736	 1,7327809334	
 3,1605143263	 0,0808894634	 1,7347788811	
 3,1805175815	 0,0785422325	 1,7369043827	
 3,2005208367	 0,0798320770	 1,7388880253	
 3,2205240919	 0,0838184357	 1,7410480976	
 3,2405273472	 0,0909960270	 1,7429006100	
 3,2605306024	 0,1020717621	 1,7447888851	
 3,2805338576	 0,1168966293	 1,7471802235	
 3,3005371129	 0,1370954514	 1,7493021488	
 3,3205403681	 0,1640629768	 1,7512512207	
 3,3405436233	 0,1946938038	 1,7533218861	
 3,3605468785	 0,2283394337	 1,7553317547	
 3,3805501338	 0,2651095390	 1,7573821545	
 3,4005533890	 0,2998995781	 1,7595398426	
 3,4205566442	 0,3292429447	 1,7615652084	
 3,4405598995	 0,3564488888	 1,7635953426	
 3,4605631547	 0,3815317154	 1,7657196522	
 3,4805664099	 0,4019832611	 1,7676603794	
 3,5005696652	 0,4203283787	 1,7695176601	
