DT9824(00).Ain 0(X)	DT9824(00).Ain 0(Y)	DT9824(00).Ain 1(X)	DT9824(00).Ain 1(Y)
136	0,121971368789673	136	1,55384421348572
137	0,122925043106079	137	1,55590295791626
138	0,124962329864502	138	1,55793309211731
139	0,127856731414795	139	1,56009554862976
140	0,131601095199585	140	1,56229615211487
141	0,135258436203003	141	1,56451940536499
142	0,139192342758179	142	1,5664005279541
143	0,143616199493408	143	1,56824350357056
144	0,148717164993286	144	1,57047629356384
145	0,154094696044922	145	1,57259345054626
146	0,159784555435181	146	1,57423257827759
147	0,166692733764648	147	1,57599806785583
148	0,174660682678223	148	1,57801747322083
149	0,184038877487183	149	1,58003330230713
150	0,195446014404297	150	1,58218026161194
151	0,209232568740845	151	1,58427000045776
152	0,224927663803101	152	1,58624291419983
153	0,243140459060669	153	1,58831596374512
154	0,265552997589111	154	1,59034252166748
155	0,290871858596802	155	1,59224987030029
156	0,316207408905029	156	1,59435987472534
157	0,342668294906616	157	1,5964663028717
158	0,370059013366699	158	1,59850835800171
159	0,394983291625977	159	1,60058498382568
160	0,417401790618896	160	1,60271048545837
161	0,437829494476318	161	1,60475492477417
162	0,455499887466431	162	1,60685181617737
163	0,47113299369812	163	1,6088604927063
164	0,487320423126221	164	1,61062359809875
165	0,50520658493042	165	1,61254525184631
166	0,523804426193237	166	1,6144871711731
167	0,542840957641602	167	1,61646723747253
168	0,562875270843506	168	1,61850929260254
169	0,582602024078369	169	1,62051677703857
170	0,60072660446167	170	1,62249565124512
171	0,622422695159912	171	1,6244649887085
172	0,644007921218872	172	1,62663340568542
173	0,664622783660889	173	1,62886142730713
174	0,686725378036499	174	1,63116335868835
175	0,709761381149292	175	1,63313269615173
176	0,73502779006958	176	1,63485288619995
177	0,761423110961914	177	1,63682699203491
178	0,789742469787598	178	1,63886666297913
179	0,817856788635254	179	1,6409707069397
180	0,84714412689209	180	1,64278507232666
181	0,876895189285278	181	1,64446353912354
182	0,907617807388306	182	1,64643168449402
183	0,941296815872192	183	1,64850831031799
184	0,978312492370605	184	1,65055394172668
185	1,01422548294067	185	1,65247082710266
186	1,05310559272766	186	1,65455222129822
187	1,09607219696045	187	1,65671229362488
188	1,14138603210449	188	1,65854215621948
189	1,18866801261902	189	1,66038632392883
190	1,23388528823853	190	1,6622006893158
191	1,28851413726807	191	1,66403293609619
192	1,34872913360596	192	1,66608810424805
193	1,41390681266785	193	1,66827917098999
194	1,489497423172	194	1,6703724861145
195	1,57577753067017	195	1,67218089103699
196	1,68100953102112	196	1,67404532432556
197	1,79944157600403	197	1,67613387107849
198	1,92356824874878	198	1,67816758155823
199	2,03908920288086	199	1,67993426322937
200	2,14051604270935	200	1,68177485466003
201	2,21913933753967	201	1,68388724327087
202	2,25674390792847	202	1,68609023094177
203	2,25108623504639	203	1,68815612792969
204	2,20229029655457	204	1,69003367424011
205	2,11950421333313	205	1,69195890426636
206	2,00199127197266	206	1,69392585754395
207	1,8704628944397	207	1,69594049453735
208	1,73671364784241	208	1,69806241989136
209	1,60285115242004	209	1,70006155967712
210	1,4788544178009	210	1,70205116271973
211	1,36099219322205	211	1,70416235923767
212	1,25859618186951	212	1,7062509059906
213	1,16389155387878	213	1,70828938484192
214	1,07749342918396	214	1,71028614044189
215	0,997196435928345	215	1,71227812767029
216	0,917558670043945	216	1,71423316001892
217	0,839518308639526	217	1,71618938446045
218	0,765728950500488	218	1,71810269355774
219	0,694754123687744	219	1,72013759613037
220	0,623494386672974	220	1,72215461730957
221	0,556849241256714	221	1,7239785194397
222	0,492370128631592	222	1,72592282295227
223	0,432147979736328	223	1,72799825668335
224	0,376726388931274	224	1,73007249832153
225	0,326740741729736	225	1,73198699951172
226	0,28130054473877	226	1,73398852348328
227	0,24183988571167	227	1,7359721660614
228	0,20964503288269	228	1,73790693283081
229	0,184468030929565	229	1,73979163169861
230	0,165665149688721	230	1,74180388450623
231	0,151958465576172	231	1,74371719360352
232	0,144253969192505	232	1,74566626548767
233	0,14124870300293	233	1,74785494804382
234	0,141234397888184	234	1,74976706504822
235	0,143482685089111	235	1,75163745880127
236	0,14702320098877	236	1,75359010696411
237	0,152312517166138	237	1,75552129745483
238	0,159515142440796	238	1,75751209259033
239	0,167850255966187	239	1,75959587097168
240	0,178166627883911	240	1,76156520843506
241	0,190244913101196	241	1,76342487335205
242	0,203913450241089	242	1,76539897918701
243	0,22087574005127	243	1,76738858222961
244	0,240427255630493	244	1,76927089691162
245	0,260790586471558	245	1,77107810974121
246	0,28235912322998	246	1,77288293838501
247	0,304867029190063	247	1,7746901512146
248	0,325398445129395	248	1,77658438682556
249	0,342987775802612	249	1,77857518196106
250	0,360020399093628	250	1,78055882453918
251	0,376142263412476	251	1,78244471549988
252	0,389217138290405	252	1,78438782691956
253	0,402193069458008	253	1,7864716053009
254	0,417279005050659	254	1,78833246231079
255	0,431917905807495	255	1,79005026817322
256	0,445737838745117	256	1,79178237915039
257	0,46181321144104	257	1,79381132125854
258	0,479354858398438	258	1,79584980010986
259	0,497671365737915	259	1,7975914478302
260	0,5164635181427	260	1,7995810508728
261	0,5375075340271	261	1,80157423019409
262	0,559277534484863	262	1,80335521697998
263	0,57927131652832	263	1,80518746376038
264	0,601081848144531	264	1,80713057518005
265	0,622899532318115	265	1,80904626846313
266	0,643348693847656	266	1,81081295013428
267	0,665103197097778	267	1,81282520294189
268	0,688931941986084	268	1,81493997573853
269	0,710368156433105	269	1,81689381599426
270	0,732799768447876	270	1,81891679763794
271	0,758588314056396	271	1,82099461555481
272	0,782949924468994	272	1,82297468185425
273	0,804774761199951	273	1,82481169700623
274	0,827368497848511	274	1,82671308517456
275	0,854376554489136	275	1,82865738868713
276	0,880851745605469	276	1,83048486709595
277	0,90890645980835	277	1,83220505714417
278	0,938130617141724	278	1,83399796485901
279	0,965467691421509	279	1,83588027954102
280	0,997098684310913	280	1,83777570724487
281	1,0323166847229	281	1,8396270275116
282	1,06801867485046	282	1,84155941009521
283	1,10361456871033	283	1,84355497360229
284	1,14023208618164	284	1,84545159339905
285	1,18238568305969	285	1,84726238250732
286	1,22759699821472	286	1,84912443161011
287	1,27792119979858	287	1,85122013092041
288	1,34102582931519	288	1,85324788093567
289	1,40778422355652	289	1,8552839756012
290	1,48047208786011	290	1,85723900794983
291	1,57235741615295	291	1,85903549194336
292	1,66859745979309	292	1,86077356338501
293	1,74859046936035	293	1,86262011528015
294	1,83157682418823	294	1,86474800109863
295	1,91003918647766	295	1,86646938323975
296	1,9643247127533	296	1,8680727481842
297	1,99662923812866	297	1,87009215354919
298	1,99677705764771	298	1,87206149101257
299	1,97173595428467	299	1,87384843826294
300	1,92705750465393	300	1,87570214271545
301	1,86103343963623	301	1,87762498855591
302	1,77443742752075	302	1,87937617301941
303	1,67339682579041	303	1,88105702400208
304	1,57564997673035	304	1,88302397727966
305	1,47831439971924	305	1,88501715660095
306	1,37712836265564	306	1,88681840896606
