QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 1,1289060116	 1,4468348026	
 0,0200032552	 1,1292517185	 1,4468276501	
 0,0400065105	 1,1291944981	 1,4468359947	
 0,0600097657	 1,1291670799	 1,4468336105	
 0,0800130209	 1,1296379566	 1,4468336105	
 0,1000162761	 1,1302459240	 1,4468407631	
 0,1200195314	 1,1304080486	 1,4468383789	
 0,1400227866	 1,1287724972	 1,4468383789	
 0,1600260418	 1,1292433739	 1,4468276501	
 0,1800292971	 1,1277306080	 1,4468169212	
 0,2000325523	 1,1251473427	 1,4468288422	
 0,2200358075	 1,1251318455	 1,4468371868	
 0,2400390628	 1,1251771450	 1,4468300343	
 0,2600423180	 1,1279034615	 1,4468324184	
 0,2800455732	 1,1317193508	 1,4468359947	
 0,3000488284	 1,1293625832	 1,4468395710	
 0,3200520837	 1,1282253265	 1,4468491077	
 0,3400553389	 1,1285054684	 1,4468455315	
 0,3600585941	 1,1263370514	 1,4468431473	
 0,3800618494	 1,1251044273	 1,4471161366	
 0,4000651046	 1,1473715305	 1,4473068714	
 0,4200683598	 1,2187194824	 1,4481270313	
 0,4400716150	 1,3410365582	 1,4508557320	
 0,4600748703	 1,5129816532	 1,4548408985	
 0,4800781255	 1,7542612553	 1,4587485790	
 0,5000813807	 2,0257031918	 1,4625477791	
 0,5200846360	 2,2432601452	 1,4662611485	
 0,5400878912	 2,3332357407	 1,4697647095	
 0,5600911464	 2,2564804554	 1,4732694626	
 0,5800944017	 2,0538842678	 1,4773142338	
 0,6000976569	 1,7922329903	 1,4812469482	
 0,6201009121	 1,5303814411	 1,4845311642	
 0,6401041673	 1,3125598431	 1,4875626564	
 0,6601074226	 1,1416876316	 1,4907050133	
 0,6801106778	 0,9973990917	 1,4935576916	
 0,7001139330	 0,8748281002	 1,4967846870	
 0,7201171883	 0,7700824738	 1,5008831024	
 0,7401204435	 0,6780171394	 1,5040898323	
 0,7601236987	 0,5950379372	 1,5063488483	
 0,7801269539	 0,5178654194	 1,5094673634	
 0,8001302092	 0,4458439350	 1,5121471882	
 0,8201334644	 0,3780257702	 1,5136647224	
 0,8401367196	 0,3172338009	 1,5161979198	
 0,8601399749	 0,2621090412	 1,5187668800	
 0,8801432301	 0,2153134346	 1,5207028389	
 0,9001464853	 0,1770377159	 1,5228605270	
 0,9201497406	 0,1441991329	 1,5257465839	
 0,9401529958	 0,1180493832	 1,5284681320	
 0,9601562510	 0,0960314274	 1,5307724476	
 0,9801595062	 0,0793159008	 1,5326917171	
 1,0001627615	 0,0664889812	 1,5349149704	
 1,0201660167	 0,0562417507	 1,5371227264	
 1,0401692719	 0,0485682487	 1,5388369560	
 1,0601725272	 0,0415611267	 1,5408790112	
 1,0801757824	 0,0359654427	 1,5430247784	
 1,1001790376	 0,0323426723	 1,5452206135	
 1,1201822928	 0,0289893150	 1,5472650528	
 1,1401855481	 0,0259518623	 1,5492558479	
 1,1601888033	 0,0244128704	 1,5514206886	
 1,1801920585	 0,0236749649	 1,5536129475	
 1,2001953138	 0,0233030319	 1,5556073189	
 1,2201985690	 0,0239109993	 1,5576565266	
 1,2402018242	 0,0248813629	 1,5599203110	
 1,2602050795	 0,0260746479	 1,5621078014	
 1,2802083347	 0,0278055668	 1,5642309189	
 1,3002115899	 0,0300228596	 1,5660989285	
 1,3202148451	 0,0326073170	 1,5680670738	
 1,3402181004	 0,0356948376	 1,5704333782	
 1,3602213556	 0,0394654274	 1,5725255013	
 1,3802246108	 0,0445961952	 1,5741133690	
 1,4002278661	 0,0511121750	 1,5758919716	
 1,4202311213	 0,0593721867	 1,5779364109	
 1,4402343765	 0,0709009171	 1,5800404549	
 1,4602376317	 0,0860440731	 1,5822231770	
 1,4802408870	 0,1062905788	 1,5842914581	
 1,5002441422	 0,1345002651	 1,5862417221	
 1,5202473974	 0,1688015461	 1,5883266926	
 1,5402506527	 0,2053201199	 1,5903508663	
 1,5602539079	 0,2446472645	 1,5922677517	
 1,5802571631	 0,2850651741	 1,5944254398	
 1,6002604184	 0,3206932545	 1,5965008736	
 1,6202636736	 0,3513371944	 1,5985500813	
 1,6402669288	 0,3785967827	 1,6007208824	
 1,6602701840	 0,4027044773	 1,6028988361	
 1,6802734393	 0,4240083694	 1,6049695015	
 1,7002766945	 0,4440271854	 1,6070818901	
 1,7202799497	 0,4638838768	 1,6090261936	
 1,7402832050	 0,4819011688	 1,6107380390	
 1,7602864602	 0,4999315739	 1,6127300262	
 1,7802897154	 0,5229973793	 1,6147482395	
 1,8002929707	 0,5483722687	 1,6166996956	
 1,8202962259	 0,5720293522	 1,6186869144	
 1,8402994811	 0,5973100662	 1,6207456589	
 1,8603027363	 0,6252539158	 1,6228687763	
 1,8803059916	 0,6534636021	 1,6248571873	
 1,9003092468	 0,6837642193	 1,6270267963	
 1,9203125020	 0,7172513008	 1,6292738914	
 1,9403157573	 0,7487607002	 1,6315114498	
 1,9603190125	 0,7819139957	 1,6335093975	
 1,9803222677	 0,8197677135	 1,6353833675	
 2,0003255229	 0,8589780331	 1,6373205185	
 2,0203287782	 0,8973717690	 1,6393721104	
 2,0403320334	 0,9383022785	 1,6415286064	
 2,0603352886	 0,9833383560	 1,6434144974	
 2,0803385439	 1,0278952122	 1,6452109814	
 2,1003417991	 1,0750401020	 1,6472566128	
 2,1203450543	 1,1283516884	 1,6493952274	
 2,1403483096	 1,1848342419	 1,6514670849	
 2,1603515648	 1,2447309494	 1,6533434391	
 2,1803548200	 1,3134443760	 1,6553628445	
 2,2003580752	 1,3925290108	 1,6576063633	
 2,2203613305	 1,4845359325	 1,6595065594	
 2,2403645857	 1,5903532505	 1,6612613201	
 2,2603678409	 1,7047142982	 1,6630649567	
 2,2803710962	 1,8203890324	 1,6650986671	
 2,3003743514	 1,9303417206	 1,6672623158	
 2,3203776066	 2,0282745361	 1,6695380211	
 2,3403808618	 2,1025192738	 1,6715908051	
 2,3603841171	 2,1412301064	 1,6733145714	
 2,3803873723	 2,1386146545	 1,6751897335	
 2,4003906275	 2,0991170406	 1,6772294044	
 2,4203938828	 2,0277249813	 1,6791856289	
 2,4403971380	 1,9284379482	 1,6809523106	
 2,4604003932	 1,8077385426	 1,6829240322	
 2,4804036485	 1,6742694378	 1,6851985455	
 2,5004069037	 1,5409851074	 1,6873168945	
 2,5204101589	 1,4127218723	 1,6892480850	
 2,5404134141	 1,2956380844	 1,6912162304	
 2,5604166694	 1,1947321892	 1,6931748390	
 2,5804199246	 1,1019051075	 1,6950583458	
 2,6004231798	 1,0136342049	 1,6970920563	
 2,6204264351	 0,9363758564	 1,6991412640	
 2,6404296903	 0,8680963516	 1,7012321949	
 2,6604329455	 0,8024501801	 1,7032766342	
 2,6804362007	 0,7400238514	 1,7053103447	
 2,7004394560	 0,6793355942	 1,7075908184	
 2,7204427112	 0,6229090691	 1,7095279694	
 2,7404459664	 0,5694448948	 1,7115616798	
 2,7604492217	 0,5174136162	 1,7136275768	
 2,7804524769	 0,4675638676	 1,7154860497	
 2,8004557321	 0,4172062874	 1,7175316811	
 2,8204589874	 0,3703451157	 1,7195940018	
 2,8404622426	 0,3264856339	 1,7215979099	
 2,8604654978	 0,2808451653	 1,7235064507	
 2,8804687530	 0,2377116680	 1,7254400253	
 2,9004720083	 0,2001571655	 1,7275309563	
 2,9204752635	 0,1658964157	 1,7296957970	
 2,9404785187	 0,1346385479	 1,7316913605	
 2,9604817740	 0,1069331169	 1,7335796356	
 2,9804850292	 0,0854992867	 1,7355298996	
 3,0004882844	 0,0701761246	 1,7374968529	
 3,0204915396	 0,0586974621	 1,7394709587	
 3,0404947949	 0,0501489639	 1,7416155338	
 3,0604980501	 0,0450873375	 1,7433941364	
 3,0805013053	 0,0431883335	 1,7452847958	
 3,1005045606	 0,0426197052	 1,7475509644	
 3,1205078158	 0,0435471535	 1,7495381832	
 3,1405110710	 0,0476467609	 1,7514514923	
 3,1605143263	 0,0538647175	 1,7535018921	
 3,1805175815	 0,0620162487	 1,7554402351	
 3,2005208367	 0,0751364231	 1,7574095726	
 3,2205240919	 0,0936722755	 1,7594790459	
 3,2405273472	 0,1151311398	 1,7614567280	
 3,2605306024	 0,1416885853	 1,7634487152	
 3,2805338576	 0,1739788055	 1,7654716969	
 3,3005371129	 0,2055525780	 1,7673873901	
 3,3205403681	 0,2346897125	 1,7693138123	
 3,3405436233	 0,2642977238	 1,7712426186	
 3,3605468785	 0,2908468246	 1,7730665207	
 3,3805501338	 0,3116178513	 1,7749226093	
 3,4005533890	 0,3313863277	 1,7768502235	
 3,4205566442	 0,3506362438	 1,7788803577	
 3,4405598995	 0,3657948971	 1,7808580399	
 3,4605631547	 0,3802227974	 1,7827618122	
 3,4805664099	 0,3970026970	 1,7848038673	
 3,5005696652	 0,4137575626	 1,7869412899	
