QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 2,0789790154	 1,4450359344	
 0,0200032552	 2,0658421516	 1,4450311661	
 0,0400065105	 2,0618295670	 1,4450323582	
 0,0600097657	 2,0743775368	 1,4450347424	
 0,0800130209	 2,0723402500	 1,4450263977	
 0,1000162761	 2,0675170422	 1,4450335503	
 0,1200195314	 2,0743989944	 1,4450407028	
 0,1400227866	 2,0771420002	 1,4450418949	
 0,1600260418	 2,0714533329	 1,4450347424	
 0,1800292971	 2,0697832108	 1,4450275898	
 0,2000325523	 2,0732116699	 1,4450383186	
 0,2200358075	 2,0728707314	 1,4450466633	
 0,2400390628	 2,0685708523	 1,4450395107	
 0,2600423180	 2,0701181889	 1,4450263977	
 0,2800455732	 2,0721268654	 1,4450359344	
 0,3000488284	 2,0621466637	 1,4450395107	
 0,3200520837	 2,0639705658	 1,4450383186	
 0,3400553389	 2,0737004280	 1,4450430870	
 0,3600585941	 2,0685470104	 1,4450395107	
 0,3800618494	 2,0694124699	 1,4450430870	
 0,4000651046	 2,0741426945	 1,4450454712	
 0,4200683598	 2,0662033558	 1,4450407028	
 0,4400716150	 2,0629227161	 1,4450359344	
 0,4600748703	 2,0714664459	 1,4450347424	
 0,4800781255	 2,0731544495	 1,4450335503	
 0,5000813807	 2,0673501492	 1,4450359344	
 0,5200846360	 2,0663881302	 1,4450466633	
 0,5400878912	 2,0698869228	 1,4450430870	
 0,5600911464	 2,0637154579	 1,4450454712	
 0,5800944017	 2,0610427856	 1,4450430870	
 0,6000976569	 2,0689821243	 1,4450359344	
 0,6201009121	 2,0656061172	 1,4450395107	
 0,6401041673	 2,0616936684	 1,4450418949	
 0,6601074226	 2,0726072788	 1,4450395107	
 0,6801106778	 2,0684921741	 1,4450311661	
 0,7001139330	 2,0558083057	 1,4450299740	
 0,7201171883	 2,0612442493	 1,4450359344	
 0,7401204435	 2,0693814754	 1,4450466633	
 0,7601236987	 2,0683228970	 1,4450418949	
 0,7801269539	 2,0637297630	 1,4450454712	
 0,8001302092	 2,0662260056	 1,4450454712	
 0,8201334644	 2,0691716671	 1,4450418949	
 0,8401367196	 2,0656704903	 1,4450466633	
 0,8601399749	 2,0609462261	 1,4450407028	
 0,8801432301	 2,0612478256	 1,4450395107	
 0,9001464853	 2,0624125004	 1,4450407028	
 0,9201497406	 2,0650386810	 1,4450347424	
 0,9401529958	 2,0697247982	 1,4450323582	
 0,9601562510	 2,0645010471	 1,4450299740	
 0,9801595062	 2,0623350143	 1,4450263977	
 1,0001627615	 2,0645594597	 1,4450323582	
 1,0201660167	 2,0598292351	 1,4450407028	
 1,0401692719	 2,0588314533	 1,4450359344	
 1,0601725272	 2,0644605160	 1,4450347424	
 1,0801757824	 2,0599865913	 1,4450323582	
 1,1001790376	 2,0524060726	 1,4450502396	
 1,1201822928	 2,0616304874	 1,4449870586	
 1,1401855481	 2,1519315243	 1,4451897144	
 1,1601888033	 2,3155605793	 1,4469587803	
 1,1801920585	 2,4155545235	 1,4504063129	
 1,2001953138	 2,3743736744	 1,4545607567	
 1,2201985690	 2,1906518936	 1,4585268497	
 1,2402018242	 1,9171881676	 1,4623522758	
 1,2602050795	 1,6396665573	 1,4659559727	
 1,2802083347	 1,4085626602	 1,4694118500	
 1,3002115899	 1,2312757969	 1,4730131626	
 1,3202148451	 1,0955917835	 1,4770853519	
 1,3402181004	 0,9829425812	 1,4809286594	
 1,3602213556	 0,8874440193	 1,4840698242	
 1,3802246108	 0,8065998554	 1,4871084690	
 1,4002278661	 0,7360720634	 1,4902818203	
 1,4202311213	 0,6708908081	 1,4933490753	
 1,4402343765	 0,6114315987	 1,4969336987	
 1,4602376317	 0,5553793907	 1,5009760857	
 1,4802408870	 0,5011248589	 1,5040254593	
 1,5002441422	 0,4519999027	 1,5064501762	
 1,5202473974	 0,4057717323	 1,5094101429	
 1,5402506527	 0,3607594967	 1,5117990971	
 1,5602539079	 0,3192818165	 1,5138256550	
 1,5802571631	 0,2809059620	 1,5166437626	
 1,6002604184	 0,2476918697	 1,5190672874	
 1,6202636736	 0,2199363708	 1,5214109421	
 1,6402669288	 0,1954936981	 1,5237772465	
 1,6602701840	 0,1751708984	 1,5262436867	
 1,6802734393	 0,1614475250	 1,5288448334	
 1,7002766945	 0,1518142223	 1,5312063694	
 1,7202799497	 0,1450669765	 1,5330076218	
 1,7402832050	 0,1416778564	 1,5352785587	
 1,7602864602	 0,1402258873	 1,5377223492	
 1,7802897154	 0,1409220695	 1,5394973755	
 1,8002929707	 0,1425886154	 1,5414643288	
 1,8202962259	 0,1471841335	 1,5436899662	
 1,8402994811	 0,1542174816	 1,5458250046	
 1,8603027363	 0,1625490189	 1,5480983257	
 1,8803059916	 0,1738822460	 1,5504479408	
 1,9003092468	 0,1890432835	 1,5525341034	
 1,9203125020	 0,2102565765	 1,5546035767	
 1,9403157573	 0,2355706692	 1,5568864346	
 1,9603190125	 0,2627372742	 1,5590941906	
 1,9803222677	 0,2950644493	 1,5611743927	
 2,0003255229	 0,3307759762	 1,5634226799	
 2,0203287782	 0,3662693501	 1,5654516220	
 2,0403320334	 0,4007339478	 1,5674185753	
 2,0603352886	 0,4312789440	 1,5696632862	
 2,0803385439	 0,4589045048	 1,5719366074	
 2,1003417991	 0,4841506481	 1,5737986565	
 2,1203450543	 0,5068898201	 1,5756297112	
 2,1403483096	 0,5281960964	 1,5776026249	
 2,1603515648	 0,5476105213	 1,5796792507	
 2,1803548200	 0,5662834644	 1,5819931030	
 2,2003580752	 0,5863595009	 1,5841317177	
 2,2203613305	 0,6089484692	 1,5860831738	
 2,2403645857	 0,6313788891	 1,5882444382	
 2,2603678409	 0,6518101692	 1,5902268887	
 2,2803710962	 0,6731081009	 1,5921747684	
 2,3003743514	 0,6945407391	 1,5943992138	
 2,3203776066	 0,7184255123	 1,5965175629	
 2,3403808618	 0,7442820072	 1,5985977650	
 2,3603841171	 0,7705247402	 1,6008567810	
 2,3803873723	 0,7989180088	 1,6031789780	
 2,4003906275	 0,8271920681	 1,6051840782	
 2,4203938828	 0,8591318130	 1,6070878506	
 2,4403971380	 0,8944869041	 1,6090703011	
 2,4604003932	 0,9292614460	 1,6110873222	
 2,4804036485	 0,9646868706	 1,6130781174	
 2,5004069037	 1,0061776638	 1,6149687767	
 2,5204101589	 1,0486555099	 1,6169631481	
 2,5404134141	 1,0921263695	 1,6192531586	
 2,5604166694	 1,1401009560	 1,6214680672	
 2,5804199246	 1,1890089512	 1,6234588623	
 2,6004231798	 1,2425041199	 1,6255414486	
 2,6204264351	 1,3070011139	 1,6276824474	
 2,6404296903	 1,3748252392	 1,6300666332	
 2,6604329455	 1,4485776424	 1,6323840618	
 2,6804362007	 1,5417265892	 1,6342771053	
 2,7004394560	 1,6456449032	 1,6362607479	
 2,7204427112	 1,7537999153	 1,6384184361	
 2,7404459664	 1,8683183193	 1,6406059265	
 2,7604492217	 1,9786500931	 1,6426205635	
 2,7804524769	 2,0679605007	 1,6445291042	
 2,8004557321	 2,1411907673	 1,6467046738	
 2,8204589874	 2,1966671944	 1,6488075256	
 2,8404622426	 2,2163057327	 1,6508543491	
 2,8604654978	 2,1946251392	 1,6528213024	
 2,8804687530	 2,1396017075	 1,6548132896	
 2,9004720083	 2,0426249504	 1,6570723057	
 2,9204752635	 1,9259989262	 1,6591525078	
 2,9404785187	 1,7961382866	 1,6610145569	
 2,9604817740	 1,6556847095	 1,6628515720	
 2,9804850292	 1,5303707123	 1,6648507118	
 3,0004882844	 1,4134347439	 1,6670286655	
 3,0204915396	 1,3020765781	 1,6694164276	
 3,0404947949	 1,2131679058	 1,6714560986	
 3,0604980501	 1,1473071575	 1,6731333733	
 3,0805013053	 1,0772061348	 1,6751241684	
 3,1005045606	 1,0123908520	 1,6773402691	
 3,1205078158	 0,9573161602	 1,6793715954	
 3,1405110710	 0,9068703651	 1,6811430454	
 3,1605143263	 0,8617162704	 1,6830861568	
 3,1805175815	 0,8181989193	 1,6853106022	
 3,2005208367	 0,7791686058	 1,6874730587	
 3,2205240919	 0,7391297817	 1,6895210743	
 3,2405273472	 0,7007074356	 1,6915845871	
 3,2605306024	 0,6672620773	 1,6935861111	
 3,2805338576	 0,6337857246	 1,6956388950	
 3,3005371129	 0,6011056900	 1,6978454590	
 3,3205403681	 0,5704259872	 1,6999363899	
 3,3405436233	 0,5425262451	 1,7019450665	
 3,3605468785	 0,5143189430	 1,7040812969	
 3,3805501338	 0,4863917828	 1,7062485218	
 3,4005533890	 0,4593563080	 1,7083966732	
 3,4205566442	 0,4334867001	 1,7105674744	
 3,4405598995	 0,4119753838	 1,7126405239	
 3,4605631547	 0,3895425797	 1,7146873474	
 3,4805664099	 0,3706943989	 1,7166948318	
 3,5005696652	 0,3557145596	 1,7186558247	
