QuickDAQ Data
01.01.0001 00:00:00
Notes:		
Sample Rate:	49,99186	 Hz	
Measurement Type	Time Waveform	Time Waveform	
Channel Name	DT9824(00).Ain 0	DT9824(00).Ain 1	
X Axis Units	Samples	Samples	
Y Axis Units	V	V	
Seconds	Real	Real	
 0,00000E+000	 1,1502373219	 1,4452970028	
 0,0200032552	 1,1490559578	 1,4453005791	
 0,0400065105	 1,1479103565	 1,4453041553	
 0,0600097657	 1,1489605904	 1,4453029633	
 0,0800130209	 1,1501264572	 1,4452993870	
 0,1000162761	 1,1478924751	 1,4452922344	
 0,1200195314	 1,1465489864	 1,4452970028	
 0,1400227866	 1,1489164829	 1,4452946186	
 0,1600260418	 1,1499750614	 1,4452886581	
 0,1800292971	 1,1486911774	 1,4452886581	
 0,2000325523	 1,1479079723	 1,4452767372	
 0,2200358075	 1,1473274231	 1,4452743530	
 0,2400390628	 1,1463677883	 1,4452803135	
 0,2600423180	 1,1460852623	 1,4452767372	
 0,2800455732	 1,1470460892	 1,4452767372	
 0,3000488284	 1,1481750011	 1,4452803135	
 0,3200520837	 1,1462092400	 1,4452719688	
 0,3400553389	 1,1430609226	 1,4452576637	
 0,3600585941	 1,1447715759	 1,4452552795	
 0,3800618494	 1,1464059353	 1,4452600479	
 0,4000651046	 1,1472702026	 1,4452683926	
 0,4200683598	 1,1464917660	 1,4452731609	
 0,4400716150	 1,1452889442	 1,4452707767	
 0,4600748703	 1,1454820633	 1,4452636242	
 0,4800781255	 1,1459970474	 1,4452683926	
 0,5000813807	 1,1462366581	 1,4452755451	
 0,5200846360	 1,1462116241	 1,4452672005	
 0,5400878912	 1,1464810371	 1,4452612400	
 0,5600911464	 1,1468815804	 1,4452528954	
 0,5800944017	 1,1469709873	 1,4452540874	
 0,6000976569	 1,1468648911	 1,4452588558	
 0,6201009121	 1,1465394497	 1,4452683926	
 0,6401041673	 1,1472654343	 1,4452672005	
 0,6601074226	 1,1469984055	 1,4452564716	
 0,6801106778	 1,1457324028	 1,4452850819	
 0,7001139330	 1,1732649803	 1,4452743530	
 0,7201171883	 1,2496733665	 1,4461433887	
 0,7401204435	 1,3750481606	 1,4492559433	
 0,7601236987	 1,5607011318	 1,4533734322	
 0,7801269539	 1,8021559715	 1,4573073387	
 0,8001302092	 2,0550155640	 1,4610898495	
 0,8201334644	 2,2345304489	 1,4648020267	
 0,8401367196	 2,2632622719	 1,4683127403	
 0,8601399749	 2,1391153336	 1,4717555046	
 0,8801432301	 1,9109404087	 1,4758682251	
 0,9001464853	 1,6554701328	 1,4798223972	
 0,9201497406	 1,4286565781	 1,4830076694	
 0,9401529958	 1,2427008152	 1,4861559868	
 0,9601562510	 1,0985696316	 1,4893567562	
 0,9801595062	 0,9783911705	 1,4924871922	
 1,0001627615	 0,8721327782	 1,4955520630	
 1,0201660167	 0,7766163349	 1,4994597435	
 1,0401692719	 0,6927490234	 1,5035665035	
 1,0601725272	 0,6190800667	 1,5059280396	
 1,0801757824	 0,5466949940	 1,5085709095	
 1,1001790376	 0,4770779610	 1,5115320683	
 1,1201822928	 0,4155910015	 1,5132844448	
 1,1401855481	 0,3583633900	 1,5159142017	
 1,1601888033	 0,3043794632	 1,5187418461	
 1,1801920585	 0,2561700344	 1,5206646919	
 1,2001953138	 0,2163136005	 1,5226161480	
 1,2201985690	 0,1822912693	 1,5253925323	
 1,2402018242	 0,1524198055	 1,5282285213	
 1,2602050795	 0,1287949085	 1,5303587914	
 1,2802083347	 0,1098072529	 1,5325164795	
 1,3002115899	 0,0957655907	 1,5348005295	
 1,3202148451	 0,0847828388	 1,5367889404	
 1,3402181004	 0,0758349895	 1,5386831760	
 1,3602213556	 0,0686371326	 1,5408122540	
 1,3802246108	 0,0627839565	 1,5428853035	
 1,4002278661	 0,0580143929	 1,5450549126	
 1,4202311213	 0,0540816784	 1,5471470356	
 1,4402343765	 0,0517308712	 1,5492439270	
 1,4602376317	 0,0503587723	 1,5514469147	
 1,4802408870	 0,0494742393	 1,5536201000	
 1,5002441422	 0,0498378277	 1,5556728840	
 1,5202473974	 0,0508522987	 1,5577292442	
 1,5402506527	 0,0529277325	 1,5599203110	
 1,5602539079	 0,0565731525	 1,5621662140	
 1,5802571631	 0,0604140759	 1,5643751621	
 1,6002604184	 0,0645661354	 1,5662896633	
 1,6202636736	 0,0703310966	 1,5684509277	
 1,6402669288	 0,0769484043	 1,5708172321	
 1,6602701840	 0,0846421719	 1,5728664398	
 1,6802734393	 0,0950002670	 1,5747201443	
 1,7002766945	 0,1083350182	 1,5766322613	
 1,7202799497	 0,1246345043	 1,5787017345	
 1,7402832050	 0,1464962959	 1,5808844566	
 1,7602864602	 0,1761436462	 1,5831851959	
 1,7802897154	 0,2102303505	 1,5852439404	
 1,8002929707	 0,2466404438	 1,5874373913	
 1,8202962259	 0,2866423130	 1,5895819664	
 1,8402994811	 0,3257179260	 1,5914225578	
 1,8603027363	 0,3605401516	 1,5936470032	
 1,8803059916	 0,3923642635	 1,5958738327	
 1,9003092468	 0,4192435741	 1,5979743004	
 1,9203125020	 0,4412853718	 1,6000962257	
 1,9403157573	 0,4611742496	 1,6022062302	
 1,9603190125	 0,4823338985	 1,6043365002	
 1,9803222677	 0,5034291744	 1,6063940525	
 2,0003255229	 0,5230021477	 1,6084969044	
 2,0203287782	 0,5428934097	 1,6104364395	
 2,0403320334	 0,5654358864	 1,6123485565	
 2,0603352886	 0,5901038647	 1,6142809391	
 2,0803385439	 0,6150245667	 1,6162967682	
 2,1003417991	 0,6415450573	 1,6182959080	
 2,1203450543	 0,6697547436	 1,6204547882	
 2,1403483096	 0,6991624832	 1,6226494312	
 2,1603515648	 0,7300412655	 1,6246390343	
 2,1803548200	 0,7615816593	 1,6268396378	
 2,2003580752	 0,7947957516	 1,6291534901	
 2,2203613305	 0,8301723003	 1,6314530373	
 2,2403645857	 0,8657217026	 1,6334056854	
 2,2603678409	 0,9027636051	 1,6353368759	
 2,2803710962	 0,9422671795	 1,6373705864	
 2,3003743514	 0,9852731228	 1,6394734383	
 2,3203776066	 1,0278367996	 1,6416025162	
 2,3403808618	 1,0734844208	 1,6434252262	
 2,3603841171	 1,1250686646	 1,6453897953	
 2,3803873723	 1,1770975590	 1,6476631165	
 2,4003906275	 1,2374782562	 1,6498720646	
 2,4203938828	 1,3055515289	 1,6519069672	
 2,4403971380	 1,3839244843	 1,6537952423	
 2,4604003932	 1,4757144451	 1,6558623314	
 2,4804036485	 1,5748667717	 1,6579318047	
 2,5004069037	 1,6869843006	 1,6597867012	
 2,5204101589	 1,8017864227	 1,6617214680	
 2,5404134141	 1,9043302536	 1,6637301445	
 2,5604166694	 1,9959056377	 1,6657972336	
 2,5804199246	 2,0646774769	 1,6680264473	
 2,6004231798	 2,0975422859	 1,6702592373	
 2,6204264351	 2,0851290226	 1,6721200943	
 2,6404296903	 2,0391190052	 1,6739630699	
 2,6604329455	 1,9641315937	 1,6760957241	
 2,6804362007	 1,8649065495	 1,6782474518	
 2,7004394560	 1,7386054993	 1,6801083088	
 2,7204427112	 1,6018605232	 1,6819393635	
 2,7404459664	 1,4844942093	 1,6840779781	
 2,7604492217	 1,3648104668	 1,6862273216	
 2,7804524769	 1,2572669983	 1,6883480549	
 2,8004557321	 1,1683559418	 1,6904222965	
 2,8204589874	 1,0851776600	 1,6923928261	
 2,8404622426	 1,0068905354	 1,6944372654	
 2,8604654978	 0,9344565868	 1,6965007782	
 2,8804687530	 0,8732163906	 1,6986024380	
 2,9004720083	 0,8154785633	 1,7007315159	
 2,9204752635	 0,7576620579	 1,7027425766	
 2,9404785187	 0,7033741474	 1,7048847675	
 2,9604817740	 0,6523299217	 1,7071986198	
 2,9804850292	 0,6009054184	 1,7092359066	
 3,0004882844	 0,5530333519	 1,7113435268	
 3,0204915396	 0,5077147484	 1,7134618759	
 3,0404947949	 0,4590749741	 1,7153930664	
 3,0604980501	 0,4127645493	 1,7174506187	
 3,0805013053	 0,3706669807	 1,7195379734	
 3,1005045606	 0,3291225433	 1,7215394974	
 3,1205078158	 0,2893865108	 1,7235553265	
 3,1405110710	 0,2512097359	 1,7256319523	
 3,1605143263	 0,2158319950	 1,7277455330	
 3,1805175815	 0,1848363876	 1,7298412323	
 3,2005208367	 0,1563799381	 1,7319262028	
 3,2205240919	 0,1325094700	 1,7340266705	
 3,2405273472	 0,1140081882	 1,7360663414	
 3,2605306024	 0,1003897190	 1,7380738258	
 3,2805338576	 0,0906789303	 1,7401170731	
 3,3005371129	 0,0858461857	 1,7421579361	
 3,3205403681	 0,0849938393	 1,7441761494	
 3,3405436233	 0,0857758522	 1,7463457584	
 3,3605468785	 0,0897824764	 1,7484760284	
 3,3805501338	 0,0974261761	 1,7503774166	
 3,4005533890	 0,1084637642	 1,7523133755	
 3,4205566442	 0,1246118546	 1,7545068264	
 3,4405598995	 0,1466155052	 1,7565929890	
 3,4605631547	 0,1744031906	 1,7585635185	
 3,4805664099	 0,2043604851	 1,7607283592	
 3,5005696652	 0,2351021767	 1,7626893520	
